AID,SLID,ELID
1,32403,32407
2,32408,32411
3,32412,32415
4,32416,32419
5,32420,32423
6,32424,32427
7,32428,32431
8,32432,32435
9,32436,32439
10,32440,32445
11,32446,32453
12,32454,32457
13,32458,32461
14,32462,32465
15,32466,32469
16,32470,32475
17,32476,32479
18,32480,32483
19,32484,32487
20,32488,32491
21,32492,32495
22,32496,32499
23,32500,32503
24,32504,32507
25,32508,32513
26,32514,32519
27,32520,32525
28,32526,32531
29,32532,32537
30,32538,32543
31,32544,32549
32,32550,32555
33,32556,32559
34,32560,32565
35,32566,32569
36,32570,32573
37,32574,32577
38,32578,32581
39,32582,32585
40,32586,32591
41,32592,32595
42,32596,32599
43,32600,32603
44,32604,32609
45,32610,32613
46,32614,32617
47,32618,32623
48,32624,32627
49,32628,32631
50,32632,32635
51,32636,32639
52,32640,32643
53,32644,32647
54,32648,32651
55,32652,32655
56,32656,32661
57,32662,32665
58,32666,32669
59,32670,32673
60,32674,32679
61,32680,32685
62,32686,32689
63,32690,32693
64,32694,32697
65,32698,32701
66,32702,32705
67,32706,32709
68,32710,32713
69,32714,32717
70,32718,32721
71,32722,32725
72,32726,32731
73,32732,32735
74,32736,32739
75,32740,32745
76,32746,32749
77,32750,32753
78,32754,32757
79,32758,32761
80,32762,32767
81,32768,32771
82,32772,32775
83,32776,32781
84,32782,32785
85,32786,32789
86,32790,32793
87,32794,32797
88,32798,32803
89,32804,32809
90,32810,32813
91,32814,32817
92,32818,32821
93,32822,32825
94,32826,32829
95,32830,32833
96,32834,32837
97,32838,32841
98,32842,32845
99,32846,32851
100,32852,32855
101,32856,32859
102,32860,32863
103,32864,32869
104,32870,32876
105,32877,32882
106,32883,32888
107,32889,32896
108,32897,32900
109,32901,32904
110,32905,32908
111,32909,32912
112,32913,32916
113,32917,32920
114,32921,32924
115,32925,32928
116,32929,32934
117,32935,32938
118,32939,32942
119,32943,32946
120,32947,32950
121,32951,32954
122,32955,32958
123,32959,32962
124,32963,32966
125,32967,32970
126,32971,32974
127,32975,32978
128,32979,32982
129,32983,32986
130,32987,32992
131,32993,32996
132,32997,33000
133,33001,33004
134,33005,33010
135,33011,33014
136,33015,33020
137,33021,33024
138,33025,33028
139,33029,33032
140,33033,33036
141,33037,33040
142,33041,33044
143,33045,33048
144,33049,33052
145,33053,33056
146,33057,33060
147,33061,33064
148,33065,33068
149,33069,33072
150,33073,33077
151,33078,33081
152,33082,33087
153,33088,33091
154,33092,33095
155,33096,33099
156,33100,33103
157,33104,33109
158,33110,33113
159,33114,33117
160,33118,33121
161,33122,33125
162,33126,33129
163,33130,33133
164,33134,33137
165,33138,33141
166,33142,33145
167,33146,33149
168,33150,33153
169,33154,33157
170,33158,33161
171,33162,33165
172,33166,33169
173,33170,33173
174,33174,33177
175,33178,33181
176,33182,33185
177,33186,33189
178,33190,33193
179,33194,33197
180,33198,33201
181,33202,33205
182,33206,33209
183,33210,33213
184,33214,33219
185,33220,33225
186,33226,33231
187,33232,33237
188,33238,33243
189,33244,33249
190,33250,33253
191,33254,33257
192,33258,33261
193,33262,33265
194,33266,33269
195,33270,33273
196,33274,33277
197,33278,33281
198,33282,33285
199,33286,33289
200,33290,33293
201,33294,33297
202,33298,33301
203,33302,33305
204,33306,33309
205,33310,33313
206,33314,33317
207,33318,33321
208,33322,33325
209,33326,33329
210,33330,33333
211,33334,33337
212,33338,33342
213,33343,33346
214,33347,33350
215,33351,33354
216,33355,33358
217,33359,33362
218,33363,33366
219,33367,33370
220,33371,33374
221,33375,33378
222,33379,33382
223,33383,33386
224,33387,33390
225,33391,33394
226,33395,33398
227,33399,33402
228,33403,33406
229,33407,33410
230,33411,33414
231,33415,33418
232,33419,33422
233,33423,33426
234,33427,33430
235,33431,33434
236,33435,33438
237,33439,33442
238,33443,33446
239,33447,33450
240,33451,33454
241,33455,33458
242,33459,33462
243,33463,33466
244,33467,33470
245,33471,33474
246,33475,33478
247,33479,33482
248,33483,33486
249,33487,33490
250,33491,33494
251,33495,33498
252,33499,33502
253,33503,33506
254,33507,33510
255,33511,33514
256,33515,33518
257,33519,33522
258,33523,33526
259,33527,33530
260,33531,33534
261,33535,33538
262,33539,33542
263,33543,33546
264,33547,33550
265,33551,33554
266,33555,33558
267,33559,33562
268,33563,33566
269,33567,33570
270,33571,33574
271,33575,33578
272,33579,33582
273,33583,33586
274,33587,33590
275,33591,33594
276,33595,33598
277,33599,33602
278,33603,33606
279,33607,33610
280,33611,33614
281,33615,33618
282,33619,33622
283,33623,33626
284,33627,33630
285,33631,33634
286,33635,33638
287,33639,33642
288,33643,33646
289,33647,33650
290,33651,33654
291,33655,33658
292,33659,33662
293,33663,33666
294,33667,33670
295,33671,33674
296,33675,33678
297,33679,33682
298,33683,33686
299,33687,33690
300,33691,33694
301,33695,33698
302,33699,33702
303,33703,33706
304,33707,33710
305,33711,33714
306,33715,33718
307,33719,33722
308,33723,33726
309,33727,33730
310,33731,33734
311,33735,33738
312,33739,33742
313,33743,33746
314,33747,33750
315,33751,33754
316,33755,33758
317,33759,33762
318,33763,33766
319,33767,33770
320,33771,33774
321,33775,33778
