ID,AID,Type,BdID,LinkID
1,1733,2,0,4842
2,1734,2,0,1301
3,1735,2,0,1266
4,1736,2,0,1205
5,1737,2,0,1100
6,1738,2,0,1155
7,1739,2,0,1051
8,1740,2,0,16418
9,1741,2,0,16456
10,1742,2,0,6349
11,1743,2,0,489
12,1744,2,0,546
13,1745,2,0,553
14,1746,2,0,1544
15,1747,2,0,650
16,1748,2,0,6438
17,1749,2,0,1433
18,1750,2,0,784
19,1751,2,0,1378
20,1752,2,0,7888
21,1753,2,0,16311
22,1754,2,0,3470
23,1755,2,0,4839
24,1756,2,0,3468
25,1757,2,0,3476
26,1758,2,0,8107
27,1759,2,0,8121
28,1760,2,0,10145
29,1761,2,0,0
30,1762,2,0,8272
31,1763,2,0,10808
32,1764,2,0,0
33,1765,2,0,10901
34,1766,2,0,10823
35,1767,2,0,0
36,1768,2,0,10638
37,1769,2,0,11142
38,1770,2,0,10746
39,1771,2,0,6609
40,1772,2,0,0
41,1773,2,0,11330
42,1774,2,0,16620
43,1775,2,0,10634
44,1776,2,0,8956
45,1777,2,0,16608
46,1778,2,0,11110
47,1779,2,0,11319
48,1780,2,0,10548
49,1781,2,0,7578
50,1782,2,0,7235
51,1783,2,0,0
52,1784,2,0,6660
53,1785,2,0,6684
54,1787,2,0,6702
55,1788,2,0,12602
56,1789,2,0,12090
57,1790,2,0,18710
58,1791,2,0,12582
59,1792,2,0,11544
60,1793,2,0,11456
61,1794,0,0,6479
62,1795,0,0,16415
63,1796,0,0,16454
64,1797,0,0,6348
65,1798,0,0,490
66,1799,0,0,1645
67,1800,0,0,554
68,1801,0,0,1545
69,1802,0,0,651
70,1803,0,0,6438
71,1804,0,0,6423
72,1805,0,0,1434
73,1806,0,0,785
74,1807,0,0,849
75,1808,0,0,806
76,1809,0,0,7887
77,1810,0,0,16360
78,1811,0,0,0
79,1812,0,0,3470
80,1813,0,0,3390
81,1814,0,0,3234
82,1815,0,0,3110
83,1816,0,0,2999
84,1817,0,0,3026
85,1818,0,0,3073
86,1819,0,0,2893
87,1820,0,0,5946
88,1821,0,0,5941
89,1822,0,0,5931
90,1823,0,0,5927
91,1824,0,0,5861
92,1825,0,0,2273
93,1826,0,0,2289
94,1827,0,0,5599
95,1828,0,0,5374
96,1829,0,0,16716
97,1830,0,0,5188
98,1831,0,0,2898
99,1832,0,0,2969
100,1833,0,0,4914
101,1834,0,0,3177
102,1835,0,0,6368
103,1836,0,0,4631
104,1837,0,0,4637
105,1838,0,0,4625
106,1839,0,0,4557
107,1840,0,0,3477
108,1841,0,0,3510
109,1842,0,0,4507
