ID,LID,Height,Width,Dir,LinkID
1,10862,0.1,0.1,1,11242
2,10863,0.1,0.1,1,11242
3,10864,0.1,0.1,1,11243
4,10865,0.1,0.1,1,11244
5,10866,0.1,0.1,1,11242
6,10867,0.1,0.1,1,11242
7,10868,0.1,0.1,1,11243
8,10869,0.1,0.1,1,11243
9,10870,0.1,0.1,1,11249
10,10871,0.1,0.1,1,11250
11,10872,0.1,0.1,1,11251
12,10873,0.1,0.1,1,11252
13,10874,0.1,0.1,1,11253
14,10875,0.1,0.1,1,11254
15,10876,0.1,0.1,1,11258
16,10877,0.1,0.1,1,11258
17,10878,0.1,0.1,1,11259
18,10879,0.1,0.1,1,11260
19,10880,0.1,0.1,1,11261
20,10881,0.1,0.1,1,11262
21,10882,0.1,0.1,1,11263
22,10883,0.1,0.1,1,11265
23,10884,0.1,0.1,1,11265
24,10885,0.1,0.1,1,11265
25,10886,0.1,0.1,1,11266
26,10887,0.1,0.1,1,11266
27,10888,0.1,0.1,1,11267
28,10889,0.1,0.1,1,11267
29,10890,0.1,0.1,1,11267
30,10891,0.1,0.1,1,11268
31,10892,0.1,0.1,1,11269
32,10893,0.1,0.1,1,11270
33,10894,0.1,0.1,1,11271
34,10895,0.1,0.1,1,11272
35,10896,0.1,0.1,1,11274
36,10897,0.1,0.1,1,11274
37,10898,0.1,0.1,1,11275
38,10899,0.1,0.1,1,11275
39,10900,0.1,0.1,1,11276
40,10901,0.1,0.1,1,11276
41,10902,0.1,0.1,1,11277
42,10903,0.1,0.1,1,11278
43,10904,0.1,0.1,1,11279
44,10905,0.1,0.1,1,11280
45,10906,0.1,0.1,1,11281
46,10907,0.1,0.1,1,11286
47,10908,0.1,0.1,1,11643
48,10909,0.1,0.1,1,11286
49,10910,0.1,0.1,1,11287
50,10911,0.1,0.1,1,11288
51,10912,0.1,0.1,1,11289
52,10913,0.1,0.1,1,11290
53,10914,0.1,0.1,1,11291
54,10915,0.1,0.1,1,11292
55,10916,0.1,0.1,1,11293
56,10917,0.1,0.1,1,11294
57,10918,0.1,0.1,1,11295
58,10919,0.1,0.1,1,11957
59,10920,0.1,0.1,1,11296
60,10921,0.1,0.1,1,11956
61,10922,0.1,0.1,1,11298
62,10923,0.1,0.1,1,11299
63,10924,0.1,0.1,1,11300
64,10925,0.1,0.1,1,11301
65,10926,0.1,0.1,1,11302
66,10927,0.1,0.1,1,11303
67,10928,0.1,0.1,1,11310
68,10929,0.1,0.1,1,11669
69,10930,0.1,0.1,1,11311
70,10931,0.1,0.1,1,11312
71,10932,0.15,0.15,1,16816
72,10933,0.15,0.15,1,16818
73,10934,0.15,0.15,1,16819
74,10935,0.15,0.15,1,15457
75,10936,0.15,0.15,1,16820
76,10937,0.15,0.15,1,16821
77,10938,0.15,0.15,1,15461
78,10939,0.15,0.15,1,15462
79,10940,0.15,0.15,1,15463
80,10941,0.15,0.15,1,15464
81,10942,0.15,0.15,1,15465
82,10943,0.15,0.15,1,15466
83,10944,0.15,0.15,1,15467
84,10945,0.15,0.15,1,15468
85,10946,0.15,0.15,1,15469
86,10947,0.15,0.15,1,15470
87,10948,0.15,0.15,1,15471
88,10949,0.15,0.15,1,15472
89,10950,0.15,0.15,1,15473
90,10951,0.15,0.15,1,15474
91,10952,0.15,0.15,1,15475
92,10953,0.15,0.15,1,15475
93,10954,0.15,0.15,1,15476
94,10955,0.15,0.15,1,15477
95,10956,0.15,0.15,1,15478
96,10957,0.15,0.15,1,15479
97,10958,0.15,0.15,1,15480
98,10959,0.15,0.15,1,15481
99,10960,0.15,0.15,1,15482
100,10961,0.15,0.15,1,15483
101,10962,0.15,0.15,1,15484
102,10963,0.15,0.15,1,15485
103,10964,0.15,0.15,1,15486
104,10965,0.15,0.15,1,15487
105,10966,0.15,0.15,1,15488
106,10967,0.15,0.15,1,15489
107,10968,0.15,0.15,1,15490
108,10969,0.15,0.15,1,15491
109,10970,0.15,0.15,1,15492
110,10971,0.15,0.15,1,15493
111,10972,0.15,0.15,1,15494
112,10973,0.15,0.15,1,15495
113,10974,0.15,0.15,1,15496
114,10975,0.15,0.15,1,15497
115,10976,0.15,0.15,1,15498
116,10977,0.15,0.15,1,15499
117,10978,0.15,0.15,1,15500
118,10979,0.15,0.15,1,15501
119,10980,0.15,0.15,1,15503
120,10981,0.15,0.15,1,15504
121,10982,0.15,0.15,1,15505
122,10983,0.15,0.15,1,15506
123,10984,0.15,0.15,1,15507
124,10985,0.15,0.15,1,15508
125,10986,0.15,0.15,1,15509
126,10987,0.15,0.15,1,15510
127,10988,0.15,0.15,1,15511
128,10989,0.15,0.15,1,15512
129,10990,0.15,0.15,1,15513
130,10991,0.15,0.15,1,15514
131,10992,0.15,0.15,1,15516
132,10993,0.15,0.15,1,15517
133,10994,0.15,0.15,1,15518
134,10995,0.15,0.15,1,15519
135,10996,0.15,0.15,1,15520
136,10997,0.15,0.15,1,15521
137,10998,0.15,0.15,1,15522
138,10999,0.15,0.15,1,15523
139,11000,0.15,0.15,1,15523
140,11001,0.15,0.15,1,15525
141,11002,0.15,0.15,1,15526
142,11003,0.15,0.15,1,15527
143,11004,0.15,0.15,1,15528
144,11005,0.15,0.15,1,15529
145,11006,0.15,0.15,1,15530
146,11007,0.15,0.15,1,15531
147,11008,0.15,0.15,1,15532
148,11009,0.15,0.15,1,15533
149,11010,0.15,0.15,1,15534
150,11011,0.15,0.15,1,15535
151,11012,0.15,0.15,1,15535
152,11013,0.15,0.15,1,15536
153,11014,0.15,0.15,1,15538
154,11015,0.15,0.15,1,15539
155,11016,0.15,0.15,1,15540
156,11017,0.15,0.15,1,15541
157,11018,0.15,0.15,1,15542
158,11019,0.15,0.15,1,15543
159,11020,0.15,0.15,1,15544
160,11021,0.15,0.15,1,15545
161,11022,0.15,0.15,1,15547
162,11023,0.15,0.15,1,15549
163,11024,0.15,0.15,1,15551
164,11025,0.15,0.15,1,15553
165,11026,0.15,0.15,1,15556
166,11027,0.15,0.15,1,15557
167,11028,0.15,0.15,1,15557
168,11029,0.15,0.15,1,15557
169,11030,0.15,0.15,1,15558
170,11031,0.15,0.15,1,15559
171,11032,0.15,0.15,1,15570
172,11033,0.15,0.15,1,15571
173,11034,0.15,0.15,1,15573
174,11035,0.15,0.15,1,15575
175,11036,0.15,0.15,1,15577
176,11037,0.15,0.15,1,15579
177,11038,0.15,0.15,1,15581
178,11039,0.15,0.15,1,15582
179,11040,0.15,0.15,1,15584
180,11041,0.15,0.15,1,15586
181,11042,0.15,0.15,1,15586
182,11043,0.15,0.15,1,15587
183,11044,0.15,0.15,1,15587
184,11045,0.15,0.15,1,15588
185,11046,0.15,0.15,1,15590
186,11047,0.15,0.15,1,15592
187,11048,0.15,0.15,1,15594
188,11049,0.15,0.15,1,15596
189,11050,0.15,0.15,1,15598
190,11051,0.15,0.15,1,15600
191,11052,0.15,0.15,1,15602
192,11053,0.15,0.15,1,15604
193,11054,0.15,0.15,1,15605
194,11055,0.15,0.15,1,15607
195,11056,0.15,0.15,1,15610
196,11057,0.15,0.15,1,15612
197,11058,0.15,0.15,1,15616
198,11059,0.15,0.15,1,15618
199,11060,0.15,0.15,1,15620
200,11061,0.15,0.15,1,15621
201,11062,0.15,0.15,1,15622
202,11063,0.15,0.15,1,15624
203,11064,0.15,0.15,1,15625
204,11065,0.15,0.15,1,15626
205,11066,0.15,0.15,1,16265
206,11067,0.15,0.15,1,16267
207,11068,0.15,0.15,1,16268
208,11069,0.15,0.15,1,16268
209,11070,0.15,0.15,1,16800
210,11071,0.15,0.15,1,16801
211,11072,0.15,0.15,1,16802
212,11073,0.15,0.15,1,16804
213,11074,0.15,0.15,1,16806
214,11075,0.15,0.15,1,16808
215,11076,0.15,0.15,1,16810
216,11077,0.15,0.15,1,4439
217,11078,0.15,0.15,1,16234
218,11079,0.15,0.15,1,16235
219,11080,0.15,0.15,1,16237
220,11081,0.15,0.15,1,16239
221,11082,0.15,0.15,1,16242
222,11083,0.15,0.15,1,16244
223,11084,0.15,0.15,1,16247
224,11085,0.15,0.15,1,16249
225,11086,0.15,0.15,1,16251
226,11087,0.15,0.15,1,16253
227,11088,0.15,0.15,1,16255
228,11089,0.15,0.15,1,16257
229,11090,0.15,0.15,1,16260
230,11091,0.15,0.15,1,16262
231,11092,0.15,0.15,1,16263
232,11093,0.15,0.15,1,16211
233,11094,0.15,0.15,1,16212
234,11095,0.15,0.15,1,16213
235,11096,0.15,0.15,1,16214
236,11097,0.15,0.15,1,16216
237,11098,0.15,0.15,1,16217
238,11099,0.15,0.15,1,16218
239,11100,0.15,0.15,1,16219
240,11101,0.15,0.15,1,16220
241,11102,0.15,0.15,1,16221
242,11103,0.15,0.15,1,16224
243,11104,0.15,0.15,1,16226
244,11105,0.15,0.15,1,16228
