ID,AID,LinkID
1,7309,16135
2,7310,16153
3,7311,16167
4,7312,16182
5,7313,16186
6,7314,16190
7,7315,16195
8,7316,16222
9,7317,16233
10,7318,16251
11,7319,16255
12,7320,12419
13,7321,12426
14,7322,12437
15,7323,12447
16,7324,12446
17,7325,12458
18,7326,12531
19,7327,12467
20,7328,12466
21,7329,12479
22,7330,12515
23,7331,12481
24,7332,12494
25,7333,12501
26,7334,11379
27,7335,11374
28,7336,11371
29,7337,11366
30,7338,3559
31,7339,6827
32,7340,6822
33,7341,6821
34,7342,6817
35,7343,6813
36,7344,6803
37,7345,6799
38,7346,6794
39,7347,6792
40,7348,6790
41,7349,6788
42,7350,6777
43,7351,6772
44,7352,6763
45,7353,6760
46,7354,6757
47,7355,6753
48,7356,6745
49,7357,6695
50,7358,6693
51,7359,6678
52,7360,6674
53,7361,6670
54,7362,6667
55,7363,6663
56,7364,6655
57,7365,6654
58,7366,6652
59,7367,6645
60,7368,6642
61,7369,5760
62,7370,5162
63,7371,5029
64,7372,5024
65,7373,4890
66,7374,4778
67,7375,4775
68,7376,4738
69,7377,4731
70,7378,4728
71,7379,3412
72,7380,3773
73,7381,3787
74,7382,2017
75,7383,2009
76,7384,2002
77,7385,1935
78,7386,1931
79,7387,1924
80,7388,1893
81,7389,1867
82,7390,1859
83,7391,1831
84,7392,1829
85,7393,1809
86,7394,1807
87,7395,1800
88,7396,1795
89,7397,1793
90,7398,1788
91,7399,1783
92,7400,6097
93,7401,6152
94,7402,6198
95,7403,6217
96,7404,6221
97,7405,6224
98,7406,6259
99,7407,6245
100,7408,6240
101,7409,6236
102,7410,6233
103,7411,6227
104,7412,6201
105,7413,6195
106,7414,6189
107,7415,6170
108,7416,6167
109,7417,6164
110,7418,6162
111,7419,6158
112,7420,6155
113,7421,6136
114,7422,6127
115,7423,6119
116,7424,6099
117,7425,6090
118,7426,6085
119,7427,6066
120,7428,6058
121,7429,6048
122,7430,5974
123,7431,2243
124,7432,5823
125,7433,5752
126,7434,3847
127,7435,3845
128,7436,3842
129,7437,3825
130,7438,3819
131,7439,3792
132,7440,3784
133,7441,3770
134,7442,3749
135,7443,3744
136,7444,3726
137,7445,3719
138,7446,3701
139,7447,3678
140,7448,3656
141,7449,3632
142,7450,3622
143,7451,3604
144,7452,3578
145,7453,3572
146,7454,3564
147,7455,3551
148,7456,3542
149,7457,3454
150,7458,3449
151,7459,3444
152,7460,3435
153,7461,3416
154,7462,3403
155,7463,3400
156,7464,3336
157,7465,3253
158,7466,3224
159,7467,3215
160,7468,3210
161,7469,3160
162,7470,3151
163,7471,3128
164,7472,3100
165,7473,3082
166,7474,3063
167,7475,3055
168,7476,3048
169,7477,3012
170,7478,2987
171,7479,2979
172,7480,2963
173,7481,2883
174,7482,2876
175,7483,2869
176,7484,2860
177,7485,2846
178,7486,2838
179,7487,2793
180,7488,2712
181,7489,2702
182,7490,2637
183,7491,2557
184,7492,2454
185,7493,2610
186,7494,5665
187,7495,5659
188,7496,5650
189,7497,5633
190,7498,5626
191,7499,5621
192,7500,5523
193,7501,5563
194,7502,5377
195,7503,5381
196,7504,5390
197,7505,5406
198,7506,5418
199,7507,5423
200,7508,5427
201,7509,5443
202,7510,5447
203,7511,5491
204,7512,5498
205,7513,4867
206,7514,4888
207,7515,4901
208,7516,5358
209,7517,5352
210,7518,5347
211,7519,5342
212,7520,5338
213,7521,5327
214,7522,5321
215,7523,5299
216,7524,5262
217,7525,5223
218,7526,5179
219,7527,5158
220,7528,5147
221,7529,5139
222,7530,5116
223,7531,5108
224,7532,5104
225,7533,5094
226,7534,5074
227,7535,5069
228,7536,5047
229,7537,5042
230,7538,5006
231,7539,4997
232,7540,4993
233,7541,4990
234,7542,4973
235,7543,4924
236,7544,4932
237,7545,4936
238,7546,4951
239,7547,4881
240,7548,4872
241,7549,4822
242,7550,4804
243,7551,4800
244,7552,4789
245,7553,4782
246,7554,4751
247,7555,4741
248,7556,4734
249,7557,4712
250,7558,4704
251,7559,4683
252,7560,4671
253,7561,4663
254,7562,4655
255,7563,4647
256,7564,4629
257,7565,4622
258,7566,4602
259,7567,4582
260,7568,4485
261,7569,4493
262,7570,4459
263,7571,4471
264,7572,4374
265,7573,4221
266,7574,4191
267,7575,4137
268,7576,4127
269,7577,4110
270,7578,4107
271,7579,4094
272,7580,4083
273,7581,4078
274,7582,4061
275,7583,3969
276,7584,3958
277,7585,3935
278,7586,3932
279,7587,3930
280,7588,3923
281,7589,3917
282,7590,3888
283,7591,3884
284,7592,3880
285,7593,9822
286,7594,9796
287,7595,9780
288,7596,8618
289,7597,8613
290,7598,8605
291,7599,8553
292,7600,8549
293,7601,8545
294,7602,8541
295,7603,8530
296,7604,8484
297,7605,8473
298,7606,8467
299,7607,8454
300,7608,8450
301,7609,8446
302,7610,8420
303,7611,8413
304,7612,8381
305,7613,8360
306,7614,8350
307,7615,8309
308,7616,8317
309,7617,8313
310,7618,8306
311,7619,10465
312,7620,8100
313,7621,7915
314,7622,9051
315,7623,9046
316,7624,9024
317,7625,9019
318,7626,8997
319,7627,8730
320,7628,8726
321,7629,8706
322,7630,8701
323,7631,8695
324,7632,8692
325,7633,8690
326,7634,8686
327,7635,8649
328,7636,1277
329,7637,1216
330,7638,1129
331,7639,1111
332,7640,1107
333,7641,255
334,7642,18
335,7643,7455
336,7644,5049
337,7645,6721
338,7646,6717
339,7647,6775
340,7648,6772
341,7649,6857
342,7650,6855
343,7651,7611
344,7652,7581
345,7653,7585
346,7654,7587
347,7655,7589
348,7656,7592
349,7657,7593
350,7658,6882
351,7659,6880
352,7660,6878
353,7661,6874
354,7662,6869
355,7663,6912
356,7664,6910
357,7665,6905
358,7666,6897
359,7667,6895
360,7668,7572
361,7669,7569
362,7670,7567
363,7671,7565
364,7672,7561
365,7673,7556
366,7674,7555
367,7675,7551
368,7676,6927
369,7677,6926
370,7678,6924
371,7679,7542
372,7680,7535
373,7681,7533
374,7682,7531
375,7683,7529
376,7684,7525
377,7685,7522
378,7686,7520
379,7687,6939
380,7688,16570
381,7689,7499
382,7690,7495
383,7691,7494
384,7692,7491
385,7693,7487
386,7694,7485
387,7695,7483
388,7696,7476
389,7697,7465
390,7698,7458
391,7699,7453
392,7700,7448
393,7701,7446
394,7702,7444
395,7703,7437
396,7704,7433
397,7705,7428
398,7706,9179
399,7707,7409
400,7708,7407
401,7709,7402
402,7710,7393
403,7711,6958
404,7712,6965
405,7713,6967
406,7714,6970
407,7715,6974
408,7716,6981
409,7717,6986
410,7718,6989
411,7719,6998
412,7720,7004
413,7721,7011
414,7722,7013
415,7723,7015
416,7724,7020
417,7725,7026
418,7726,7030
419,7727,7036
420,7728,7044
421,7729,7050
422,7730,16367
423,7731,7362
424,7732,7360
425,7733,7357
426,7734,7349
427,7735,5843
428,7736,5836
429,7737,282
430,7738,277
431,7739,415
432,7740,251
433,7741,241
434,7742,239
435,7743,236
436,7744,228
437,7745,182
438,7746,186
439,7747,148
440,7748,144
441,7749,135
442,7750,130
443,7751,106
444,7752,100
445,7753,81
446,7754,71
447,7755,62
448,7756,59
449,7757,50
450,7758,45
451,7759,40
452,7760,36
453,7761,32
454,7762,10
455,7763,16
456,7764,20
457,7765,1278
458,7766,1281
459,7767,1263
460,7768,1253
461,7769,1246
462,7770,1239
463,7771,1234
464,7772,1185
465,7773,1182
466,7774,1181
467,7775,1179
468,7776,1119
469,7777,1127
470,7778,1141
471,7779,1081
472,7780,1072
473,7781,1069
474,7782,1065
475,7783,1060
476,7784,1039
477,7785,1022
478,7786,10352
479,7787,10397
480,7788,9739
481,7789,9703
482,7790,9622
483,7791,9609
484,7792,9594
485,7793,9586
486,7794,4092
487,7795,3488
488,7796,3287
489,7797,3259
490,7798,3068
491,7799,10960
492,7800,10963
493,7801,10936
494,7802,10918
495,7803,8241
496,7804,8245
497,7805,8254
498,7806,8052
499,7807,8055
500,7808,8059
501,7809,8063
502,7810,8066
503,7811,8070
504,7812,8133
505,7813,8021
506,7814,7928
507,7815,7941
