ID,AID,LinkID
1,8109,6712
2,8110,6714
3,8111,6718
4,8112,6715
5,8113,6719
6,8114,6722
7,8115,6725
8,8116,6687
9,8117,6690
10,8118,6688
11,8119,6694
12,8120,6691
13,8121,6665
14,8122,6670
15,8123,6669
16,8124,6676
17,8125,6672
18,8126,6671
19,8127,6681
20,8128,6747
21,8129,6748
22,8130,6749
23,8131,6755
24,8132,6751
25,8133,6780
26,8134,6788
27,8135,6797
28,8136,6797
29,8137,6798
30,8138,6954
31,8139,7034
32,8140,7374
33,8141,7093
34,8142,16479
35,8143,16364
36,8144,16366
37,8145,16341
38,8146,16340
39,8147,16338
40,8148,4207
41,8149,4204
42,8150,4198
43,8151,4194
44,8152,4186
45,8153,4182
46,8154,4201
47,8155,4176
48,8156,895
49,8157,893
50,8158,890
51,8159,889
52,8160,886
53,8161,882
54,8162,417
55,8163,419
56,8164,421
57,8165,423
58,8166,426
59,8167,430
60,8168,431
61,8169,898
62,8170,966
63,8171,956
64,8172,946
65,8173,948
66,8174,945
67,8175,932
68,8176,933
69,8177,926
70,8178,927
71,8179,929
72,8180,917
73,8181,919
74,8182,921
75,8183,922
76,8184,923
77,8185,924
78,8186,915
79,8187,914
80,8188,912
81,8189,911
82,8190,909
83,8191,904
84,8192,907
85,8193,983
86,8194,997
87,8195,999
88,8196,1000
89,8197,1001
90,8198,1003
91,8199,1004
92,8200,1006
93,8201,1008
94,8202,1020
95,8203,1028
96,8204,1027
97,8205,1026
98,8206,1024
99,8207,1025
100,8208,1045
101,8209,1044
102,8210,1043
103,8211,1041
104,8212,1038
105,8213,1037
106,8214,1037
107,8215,1036
108,8216,1035
109,8217,1034
110,8218,1030
111,8219,1032
112,8220,1048
113,8221,1046
114,8222,1047
115,8223,1090
116,8224,1092
117,8225,1094
118,8226,1071
119,8227,1074
120,8228,1076
121,8229,1078
122,8230,1080
123,8231,1084
124,8232,1054
125,8233,1056
126,8234,1058
127,8235,1062
128,8236,1064
129,8237,1067
130,8238,1070
131,8239,1146
132,8240,1138
133,8241,1145
134,8242,1135
135,8243,1136
136,8244,1134
