ID,AID,Type,LinkID
1,6001,0,11405
2,6002,0,11404
3,6003,0,3395
4,6004,0,3386
5,6005,0,11450
6,6006,0,11449
7,6007,0,11446
8,6008,0,11443
9,6009,0,11440
10,6010,0,18006
11,6011,0,17994
12,6012,0,1999
13,6013,0,2004
14,6014,0,2072
15,6015,0,2078
16,6016,0,2066
17,6017,0,16842
18,6018,0,3586
19,6019,0,16809
20,6020,0,128
21,6021,0,8610
22,6022,0,4902
23,6023,0,4905
24,6024,0,4552
25,6025,0,10867
26,6026,0,10869
27,6027,0,16709
28,6028,0,9600
29,6029,0,9628
30,6030,0,10835
31,6031,0,3361
32,6032,0,3349
33,6033,0,3338
34,6034,0,3330
35,6035,0,3314
36,6036,0,9182
37,6037,0,9042
38,6038,0,2581
39,6039,0,2525
40,6040,0,2805
41,6041,0,2788
42,6042,0,2752
43,6043,0,5194
44,6044,0,5188
45,6045,0,10952
46,6046,0,9615
47,6047,0,16677
48,6048,0,3238
49,6049,0,3256
50,6050,0,3446
51,6051,0,3441
52,6052,0,3424
53,6053,0,4528
54,6054,0,6710
55,6055,0,6708
56,6056,0,6704
57,6057,0,6697
58,6058,0,6699
59,6059,0,10677
60,6060,0,5671
61,6061,0,5689
62,6062,0,4991
63,6063,0,4995
64,6064,0,2903
65,6065,0,2983
66,6066,0,2974
67,6067,0,2950
68,6068,0,2934
69,6069,0,2915
70,6070,0,5190
71,6071,0,9577
72,6072,0,9590
73,6073,0,9685
74,6074,0,9690
75,6075,0,9693
76,6076,0,9698
77,6077,0,9713
78,6078,0,2861
79,6079,0,9870
80,6080,0,8629
81,6081,0,8629
82,6082,0,10816
83,6083,0,10822
84,6084,0,9764
85,6085,0,9787
86,6086,0,9777
87,6087,0,11436
88,6088,0,11432
89,6089,0,11428
90,6090,0,11426
91,6091,0,11423
92,6092,0,11420
93,6093,0,11417
94,6094,0,18023
95,6095,0,11412
96,6096,0,18008
97,6097,0,11407
98,6098,0,11403
99,6099,0,11399
100,6100,0,11393
101,6101,0,11396
102,6102,0,18045
103,6103,0,11389
104,6104,0,11257
105,6105,0,11256
106,6106,0,15975
107,6107,0,4934
108,6108,0,4929
109,6109,0,4927
110,6110,0,4918
111,6111,0,4635
112,6112,0,4642
113,6113,0,4651
114,6114,0,9035
115,6115,0,9016
116,6116,0,9022
117,6117,0,9071
118,6118,0,9058
119,6119,0,9049
120,6120,0,2285
121,6121,0,5937
122,6122,0,3711
123,6123,0,3723
124,6124,0,3729
125,6125,0,5504
126,6126,0,5493
127,6127,0,5468
128,6128,0,16102
129,6129,0,93
130,6130,0,16283
131,6131,0,16814
132,6132,0,16238
133,6133,0,16228
134,6134,0,16214
135,6135,0,16200
136,6136,0,15518
137,6137,0,8615
138,6138,0,8623
139,6139,0,9750
140,6140,0,10883
141,6141,0,10904
142,6142,0,10907
143,6143,0,10939
144,6144,0,10932
145,6145,0,10922
146,6146,0,10914
147,6147,0,9648
148,6148,0,9667
149,6149,0,5205
150,6150,0,5209
151,6151,0,5220
152,6152,0,5231
153,6153,0,5255
154,6154,0,5265
155,6155,0,5273
156,6156,0,5285
157,6157,0,5197
158,6158,0,16722
159,6159,0,2888
160,6160,0,2885
161,6161,0,2880
162,6162,0,2872
163,6163,0,2851
164,6164,0,2856
165,6165,0,2865
166,6166,0,5184
167,6167,0,5182
168,6168,0,2833
169,6169,0,2841
170,6170,0,2843
171,6171,0,2993
172,6172,0,3006
173,6173,0,5011
174,6174,0,4986
175,6175,0,3018
176,6176,0,5001
177,6177,0,3039
178,6178,0,4978
179,6179,0,3051
180,6180,0,3059
181,6181,0,4963
182,6182,0,4967
183,6183,0,4954
184,6184,0,3079
185,6185,0,4949
186,6186,0,4948
187,6187,0,4942
188,6188,0,3085
189,6189,0,3091
190,6190,0,3103
191,6191,0,3114
192,6192,0,3122
193,6193,0,4896
194,6194,0,3131
195,6195,0,3142
196,6196,0,4876
197,6197,0,3155
198,6198,0,3168
199,6199,0,4859
200,6200,0,4850
201,6201,0,4830
202,6202,0,3198
203,6203,0,3213
204,6204,0,4812
205,6205,0,3218
206,6206,0,3221
207,6207,0,4802
208,6208,0,3229
209,6209,0,4794
210,6210,0,4785
211,6211,0,3243
212,6212,0,3250
213,6213,0,3255
214,6214,0,4770
215,6215,0,3266
216,6216,0,4758
217,6217,0,4746
218,6218,0,3278
219,6219,0,3289
220,6220,0,3296
221,6221,0,4725
222,6222,0,4714
223,6223,0,4708
224,6224,0,4717
225,6225,0,4700
226,6226,0,4658
227,6227,0,4666
228,6228,0,4678
229,6229,0,4688
230,6230,0,4693
231,6231,0,3368
232,6232,0,3377
233,6233,0,4627
234,6234,0,4612
235,6235,0,4600
236,6236,0,4589
237,6237,0,4569
238,6238,0,3459
239,6239,0,3507
240,6240,0,3496
241,6241,0,3482
242,6242,0,3473
243,6243,1,7315
244,6244,1,16334
245,6245,1,16335
246,6246,1,16364
247,6247,1,16341
248,6248,1,942
249,6249,1,943
250,6250,1,1381
251,6251,1,1177
252,6252,1,3468
253,6253,1,7258
254,6254,1,12057
255,6255,1,7247
256,6256,1,16499
257,6257,1,16316
258,6258,1,16441
259,6259,1,794
260,6260,1,803
261,6261,1,809
262,6262,1,6415
263,6263,1,6431
264,6264,1,661
265,6265,1,1555
266,6266,1,848
267,6267,1,565
268,6268,1,1655
269,6269,1,1695
270,6270,1,1704
271,6271,1,6340
272,6272,1,3179
273,6273,1,1342
274,6274,1,7047
275,6275,1,7060
276,6276,1,7064
277,6277,1,7068
278,6278,1,7071
279,6279,1,7075
280,6280,1,7079
281,6281,1,7081
282,6282,1,7085
283,6283,1,7088
284,6284,1,7092
285,6285,1,7096
286,6286,1,7100
287,6287,1,7103
288,6288,1,7105
289,6289,1,7108
290,6290,1,6955
291,6291,1,6961
292,6292,1,6979
293,6293,1,6983
294,6294,1,6984
295,6295,1,6993
296,6296,1,6994
297,6297,1,7000
298,6298,1,7005
299,6299,1,7008
300,6300,1,7038
301,6301,1,7041
302,6302,1,6919
303,6303,1,6922
304,6304,1,6930
305,6305,1,6941
306,6306,1,6908
307,6307,1,6881
308,6308,1,6892
309,6309,1,6900
310,6310,1,6903
311,6311,1,6876
312,6312,1,6872
313,6313,1,6866
314,6314,1,6863
315,6315,1,6852
316,6316,1,6632
317,6317,1,16284
318,6318,1,7351
319,6319,1,7353
320,6320,1,7354
321,6321,1,7355
322,6322,1,7358
323,6323,1,7367
324,6324,1,7372
325,6325,1,7376
326,6326,1,7378
327,6327,1,7389
328,6328,1,7391
329,6329,1,7395
330,6330,1,7398
331,6331,1,7401
332,6332,1,7405
333,6333,1,7412
334,6334,1,7415
335,6335,1,7419
336,6336,1,7427
337,6337,1,7431
338,6338,1,7435
339,6339,1,7451
340,6340,1,7459
341,6341,1,7462
342,6342,1,7474
343,6343,1,7478
344,6344,1,7479
345,6345,1,7489
346,6346,1,7497
347,6347,1,7505
348,6348,1,7545
349,6349,1,7544
350,6350,1,7540
351,6351,1,7536
352,6352,1,7553
353,6353,1,7559
354,6354,1,7563
355,6355,1,7583
356,6356,1,7586
357,6357,1,7590
358,6358,1,7594
359,6359,1,7600
360,6360,1,7608
361,6361,1,7613
362,6362,1,7614
363,6363,1,9077
364,6364,1,9069
365,6365,1,7111
366,6366,1,7022
367,6367,1,6992
368,6368,1,6995
369,6369,1,6952
370,6370,1,18723
371,6371,1,11318
372,6372,1,6943
373,6373,1,6946
374,6374,1,11692
375,6375,1,11603
376,6376,1,12405
377,6377,1,6919
378,6378,1,6891
379,6379,1,6889
380,6380,1,6858
381,6381,1,6850
382,6382,1,9239
383,6383,1,8943
384,6384,1,6623
385,6385,1,7615
386,6386,1,7607
387,6387,1,7603
388,6388,1,7579
389,6389,1,7576
390,6390,1,7547
391,6391,1,7500
392,6392,1,7473
393,6393,1,16560
394,6394,1,13185
395,6395,1,13186
396,6396,1,170
397,6397,1,171
398,6398,1,1143
399,6399,1,248
400,6400,1,433
401,6401,1,432
402,6402,1,1131
403,6403,1,170
404,6404,1,11396
405,6405,1,11414
406,6406,1,11416
407,6407,1,11416
408,6408,1,11417
409,6409,1,11417
410,6410,1,11419
411,6411,1,11426
412,6412,1,11428
413,6413,1,11441
414,6414,1,11442
415,6415,1,11443
416,6416,1,11445
417,6417,1,11447
418,6418,1,11448
419,6419,1,2557
420,6420,1,6377
421,6421,1,259
422,6422,1,2454
423,6423,1,6811
424,6424,1,8735
425,6425,1,8711
426,6426,1,8683
427,6427,1,8663
428,6428,1,8647
429,6429,1,2963
430,6430,1,1124
431,6431,1,7364
432,6432,1,7391
433,6433,1,7418
434,6434,1,7450
435,6435,1,7460
436,6436,1,7486
437,6437,1,7538
438,6438,1,7571
439,6439,1,7598
440,6440,1,7609
441,6441,1,6854
442,6442,1,6870
443,6443,1,6893
444,6444,1,6920
445,6445,1,6956
446,6446,1,6987
447,6447,1,7002
448,6448,1,7019
449,6449,1,7073
450,6450,1,6635
451,6451,1,11926
452,6452,1,9005
453,6453,1,10164
454,6454,1,4548
455,6455,1,121
456,6456,1,115
457,6457,1,6657
458,6458,1,6651
459,6459,1,6650
460,6460,1,6647
461,6461,1,6644
462,6462,1,6643
463,6463,1,6640
464,6464,1,6828
465,6465,1,6825
466,6466,1,6823
467,6467,1,6819
468,6468,1,6816
469,6469,1,6815
470,6470,1,11428
471,6471,1,218
472,6472,1,219
473,6473,1,1088
474,6474,1,1087
475,6475,1,5818
476,6476,1,5830
477,6477,1,5839
478,6478,1,5851
479,6479,1,2165
480,6480,1,1029
481,6481,1,1174
482,6482,1,1173
483,6483,1,8745
484,6484,1,9186
485,6485,1,8193
486,6486,1,8184
487,6487,1,8556
488,6488,1,8559
489,6489,1,8565
490,6490,1,8576
491,6491,1,8591
492,6492,1,8600
