ID,AID,Type,LinkID
1,1,2,993
2,2,2,3156
3,3,2,6386
4,4,2,3178
5,5,2,4844
6,6,2,1312
7,7,2,1310
8,8,2,1308
9,9,2,1306
10,10,2,1304
11,11,2,1302
12,12,2,1302
13,13,2,1300
14,14,2,1290
15,15,2,1275
16,16,2,1268
17,17,2,1264
18,18,2,1258
19,19,2,1250
20,20,2,1242
21,21,2,1234
22,22,2,1226
23,23,2,1218
24,24,2,1212
25,25,2,1205
26,26,2,1204
27,27,2,1205
28,28,2,1647
29,29,2,1204
30,30,2,1645
31,31,2,1203
32,32,2,1644
33,33,2,1202
34,34,2,1643
35,35,2,1201
36,36,2,1642
37,37,2,1200
38,38,2,1200
39,39,2,1199
40,40,2,1196
41,41,2,1192
42,42,2,1189
43,43,2,1184
44,44,2,1178
45,45,2,1169
46,46,2,1158
47,47,2,1117
48,48,2,1097
49,49,2,1081
50,50,2,1070
51,51,2,1055
52,52,2,1043
53,53,2,1028
54,54,2,1019
55,55,2,1018
56,56,2,1018
57,57,2,1460
58,58,2,6579
59,59,2,6577
60,60,2,1016
61,61,2,6562
62,62,2,6542
63,63,2,6540
64,64,2,6538
65,65,2,6536
66,66,2,1452
67,67,2,1010
68,68,2,1009
69,69,2,1005
70,70,2,1001
71,71,2,998
72,72,2,996
73,73,2,967
74,74,2,965
75,75,2,962
76,76,2,958
77,77,2,954
78,78,2,951
79,79,2,948
80,80,2,945
81,81,2,936
82,82,2,934
83,83,2,931
84,84,2,927
85,85,2,924
86,86,2,920
87,87,2,916
88,88,2,912
89,89,2,909
90,90,2,905
91,91,2,903
92,92,2,903
93,93,2,902
94,94,2,1341
95,95,2,901
96,96,2,1340
97,97,2,900
98,98,2,900
99,99,2,899
100,100,2,891
101,101,2,884
102,102,2,880
103,103,2,876
104,104,2,888
105,105,2,16401
106,106,2,16342
107,107,2,16477
108,108,2,7343
109,109,2,425
110,110,2,374
111,111,2,371
112,112,2,377
113,113,2,381
114,114,2,385
115,115,2,388
116,116,2,392
117,117,2,396
118,118,2,400
119,119,2,405
120,120,2,407
121,121,2,410
122,122,2,417
123,123,2,419
124,124,2,349
125,125,2,353
126,126,2,357
127,127,2,360
128,128,2,364
129,129,2,367
130,130,2,324
131,131,2,326
132,132,2,327
133,133,2,329
134,134,2,330
135,135,2,318
136,136,2,316
137,137,2,313
138,138,2,308
139,139,2,304
140,140,2,300
141,141,2,298
142,142,2,3204
143,143,2,6361
144,144,2,1
145,145,2,4
146,146,2,6
147,147,2,8
148,148,2,12
149,149,2,17
150,150,2,21
151,151,2,28
152,152,2,81
153,153,2,72
154,154,2,63
155,155,2,57
156,156,2,48
157,157,2,43
158,158,2,37
159,159,2,32
160,160,2,96
161,161,2,107
162,162,2,107
163,163,2,108
164,164,2,108
165,165,2,109
166,166,2,110
167,167,2,110
168,168,2,111
169,169,2,112
170,170,2,119
171,171,2,134
172,172,2,129
173,173,2,125
174,174,2,151
175,175,2,196
176,176,2,214
177,177,2,227
178,178,2,240
179,179,2,254
180,180,2,291
181,181,2,281
182,182,2,267
183,183,2,109
184,184,2,1208
185,185,2,1207
186,186,2,1648
187,187,2,1206
188,188,2,1206
189,189,2,1206
190,190,2,3993
191,191,2,3983
192,192,2,3962
193,193,2,3849
194,194,2,3829
195,195,2,3811
196,196,2,3805
197,197,2,3796
198,198,2,3788
199,199,2,3774
200,200,2,3761
201,201,2,3753
202,202,2,3738
203,203,2,3732
204,204,2,3717
205,205,2,3670
206,206,2,3634
207,207,2,3618
208,208,2,3609
209,209,2,3599
210,210,2,3592
211,211,2,3575
212,212,2,3548
213,213,2,3527
214,214,2,3520
215,215,2,3509
216,216,2,3466
217,217,2,3454
218,218,2,3439
219,219,2,3423
220,220,2,3405
221,221,2,3398
222,222,2,3382
223,223,2,3296
224,224,2,3182
225,225,2,3198
226,226,2,3215
227,227,2,3068
228,228,2,2832
229,229,2,2815
230,230,2,2806
231,231,2,2798
232,232,2,2785
233,233,2,2774
234,234,2,2763
235,235,2,2752
236,236,2,2742
237,237,2,2730
238,238,2,2720
239,239,2,2709
240,240,2,2698
241,241,2,2687
242,242,2,2674
243,243,2,2664
244,244,2,2659
245,245,2,2652
246,246,2,2640
247,247,2,2625
248,248,2,2612
249,249,2,2588
250,250,2,2577
251,251,2,2565
252,252,2,2553
253,253,2,2541
254,254,2,2529
255,255,2,2517
256,256,2,2504
257,257,2,2492
258,258,2,2485
259,259,2,2478
260,260,2,2462
261,261,2,2447
262,262,2,2434
263,263,2,2412
264,264,2,2305
265,265,2,2281
266,266,2,2164
267,267,2,4005
268,268,2,4000
269,269,2,3944
270,270,2,3921
271,271,2,3905
272,272,2,3881
273,273,2,2140
274,274,2,2138
275,275,2,2135
276,276,2,5934
277,277,2,2075
278,278,2,2064
279,279,2,5948
280,280,2,5982
281,281,2,6039
282,282,2,6051
283,283,2,6063
284,284,2,6075
285,285,2,6109
286,286,2,6101
287,287,2,6092
288,288,2,6082
289,289,2,6143
290,290,2,6116
291,291,2,6176
292,292,2,6149
293,293,2,6203
294,294,2,6183
295,295,2,6209
296,296,2,6220
297,297,2,6237
298,298,2,6247
299,299,2,6255
300,300,2,6263
301,301,2,4173
302,302,2,4176
303,303,2,2080
304,304,2,2045
305,305,2,2058
306,306,2,2029
307,307,2,1988
308,308,2,1976
309,309,2,1969
310,310,2,1958
311,311,2,1947
312,312,2,1939
313,313,2,1930
314,314,2,1923
315,315,2,1912
316,316,2,1906
317,317,2,1878
318,318,2,14760
319,319,2,14757
320,320,2,14416
321,321,2,1820
322,322,2,14048
323,323,2,1802
324,324,2,1785
325,325,2,1774
326,326,2,1767
327,327,2,1760
328,328,2,3898
329,329,2,3891
330,330,2,3869
331,331,2,4022
332,332,2,4031
333,333,2,4037
334,334,2,4051
335,335,2,4071
336,336,2,4080
