PLID,VID,Length,Dim
1,1435,9.942 ,0.200 
2,1436,10.181 ,0.200 
3,1437,10.189 ,0.200 
4,1438,10.185 ,0.200 
5,1439,10.150 ,0.200 
6,1440,10.082 ,0.200 
7,1441,10.041 ,0.200 
8,1442,10.057 ,0.200 
9,1443,10.141 ,0.200 
10,1444,10.170 ,0.200 
11,1445,10.221 ,0.200 
12,1446,9.839 ,0.200 
13,1447,10.169 ,0.200 
14,1448,9.948 ,0.200 
15,1449,10.027 ,0.200 
16,1450,10.109 ,0.200 
17,1451,10.103 ,0.200 
18,1452,10.138 ,0.200 
19,1453,10.107 ,0.200 
20,1454,10.076 ,0.200 
21,1455,9.811 ,0.200 
22,1456,10.041 ,0.200 
23,1457,10.140 ,0.200 
24,1458,10.075 ,0.200 
25,1459,10.058 ,0.200 
26,1460,10.134 ,0.200 
27,1461,10.176 ,0.200 
28,1462,10.131 ,0.200 
29,1463,10.113 ,0.200 
30,1464,10.072 ,0.200 
31,1465,10.195 ,0.200 
32,1466,10.125 ,0.200 
33,1467,10.176 ,0.200 
34,1468,10.172 ,0.200 
35,1469,10.064 ,0.200 
36,1470,10.113 ,0.200 
37,1471,10.127 ,0.200 
38,1472,10.104 ,0.200 
39,1473,10.143 ,0.200 
40,1474,9.978 ,0.200 
41,1475,9.882 ,0.200 
42,1476,9.848 ,0.200 
43,1477,9.991 ,0.200 
44,1478,10.137 ,0.200 
45,1479,10.042 ,0.200 
46,1480,10.139 ,0.200 
47,1481,10.164 ,0.200 
48,1482,10.075 ,0.200 
49,1483,9.808 ,0.200 
50,1484,9.815 ,0.200 
51,1485,9.886 ,0.200 
52,1486,9.945 ,0.200 
53,1487,9.971 ,0.200 
54,1488,9.967 ,0.200 
55,1489,9.958 ,0.200 
56,1490,9.929 ,0.200 
57,1491,9.858 ,0.200 
58,1492,9.895 ,0.200 
59,1493,9.825 ,0.200 
60,1494,9.897 ,0.200 
61,1495,9.927 ,0.200 
62,1496,10.015 ,0.200 
63,1497,9.876 ,0.200 
64,1498,9.836 ,0.200 
65,1499,10.012 ,0.200 
66,1500,9.840 ,0.200 
67,1501,9.765 ,0.200 
68,1502,9.918 ,0.200 
69,1503,6.932 ,0.200 
70,1504,7.102 ,0.200 
71,1505,5.911 ,0.200 
72,1506,7.101 ,0.200 
73,1507,7.088 ,0.200 
74,1508,7.072 ,0.200 
75,1509,6.899 ,0.200 
76,1510,7.038 ,0.200 
77,1511,7.120 ,0.200 
78,1512,7.026 ,0.200 
79,1513,7.128 ,0.200 
80,1514,7.048 ,0.200 
81,1515,7.018 ,0.200 
82,1516,7.276 ,0.200 
83,1517,7.077 ,0.200 
84,1518,7.133 ,0.200 
85,1519,7.051 ,0.200 
86,1520,7.014 ,0.200 
87,1521,7.083 ,0.200 
88,1522,7.100 ,0.200 
89,1523,7.103 ,0.200 
90,1524,7.052 ,0.200 
91,1525,7.041 ,0.200 
92,1526,7.140 ,0.200 
93,1527,7.010 ,0.200 
94,1528,7.090 ,0.200 
95,1529,7.134 ,0.200 
96,1530,7.139 ,0.200 
97,1531,6.983 ,0.200 
98,1532,7.083 ,0.200 
99,1533,6.935 ,0.200 
100,1534,7.018 ,0.200 
101,1535,7.065 ,0.200 
102,1536,7.019 ,0.200 
103,1537,8.123 ,0.200 
104,1538,7.199 ,0.200 
105,1539,7.255 ,0.200 
106,1540,7.057 ,0.200 
107,1541,7.169 ,0.200 
108,1542,7.099 ,0.200 
109,1543,6.954 ,0.200 
110,1544,6.994 ,0.200 
111,1545,7.117 ,0.200 
112,1546,7.045 ,0.200 
113,1547,6.931 ,0.200 
114,1548,7.077 ,0.200 
115,1549,6.988 ,0.200 
116,1550,7.053 ,0.200 
117,1551,7.128 ,0.200 
118,1552,7.040 ,0.200 
119,1553,7.125 ,0.200 
120,1554,7.012 ,0.200 
121,1555,7.090 ,0.200 
122,1556,6.962 ,0.200 
123,1557,7.096 ,0.200 
124,1558,6.969 ,0.200 
125,1559,7.030 ,0.200 
126,1560,7.068 ,0.200 
127,1561,7.069 ,0.200 
128,1562,6.903 ,0.200 
129,1563,7.031 ,0.200 
130,1564,7.013 ,0.200 
131,1565,7.139 ,0.200 
132,1566,6.944 ,0.200 
133,1567,7.176 ,0.200 
134,1568,7.054 ,0.200 
135,1569,6.951 ,0.200 
136,1570,6.971 ,0.200 
137,1571,6.977 ,0.200 
138,1572,7.146 ,0.200 
139,1573,7.060 ,0.200 
140,1574,11.400 ,0.200 
141,1575,7.186 ,0.200 
142,1576,7.113 ,0.200 
143,1577,7.094 ,0.200 
144,1578,8.060 ,0.200 
145,1579,6.743 ,0.200 
146,1580,9.779 ,0.200 
147,1581,9.726 ,0.200 
148,1582,9.686 ,0.200 
149,1583,9.481 ,0.200 
150,1584,9.614 ,0.200 
151,1585,9.657 ,0.200 
152,1586,9.150 ,0.200 
153,1587,9.647 ,0.200 
154,1588,9.725 ,0.200 
155,1589,9.818 ,0.200 
156,1590,9.539 ,0.200 
157,1591,9.114 ,0.200 
158,1592,9.610 ,0.200 
159,1593,9.582 ,0.200 
160,1594,9.770 ,0.200 
161,1595,9.462 ,0.200 
162,1596,9.682 ,0.200 
163,1597,9.645 ,0.200 
164,1598,9.632 ,0.200 
165,1599,9.629 ,0.200 
166,1600,9.507 ,0.200 
167,1601,9.646 ,0.200 
168,1602,9.609 ,0.200 
169,1603,9.583 ,0.200 
170,1604,9.764 ,0.200 
171,1605,8.669 ,0.200 
172,1606,9.193 ,0.200 
173,1607,9.467 ,0.200 
174,1608,11.490 ,0.200 
175,1609,9.660 ,0.200 
176,1610,9.537 ,0.200 
177,1611,9.590 ,0.200 
178,1612,9.569 ,0.200 
179,1613,8.942 ,0.200 
180,1614,9.546 ,0.200 
181,1615,11.573 ,0.200 
182,1616,9.719 ,0.200 
183,1617,11.033 ,0.200 
184,1618,8.680 ,0.200 
185,1619,8.934 ,0.200 
186,1620,9.108 ,0.200 
187,1621,9.050 ,0.200 
188,1622,9.135 ,0.200 
189,1623,8.773 ,0.200 
190,1624,8.739 ,0.200 
191,1625,8.682 ,0.200 
192,1626,8.972 ,0.200 
193,1627,8.885 ,0.200 
194,1628,8.866 ,0.200 
195,1629,8.965 ,0.200 
196,1630,9.099 ,0.200 
197,1631,8.929 ,0.200 
198,1632,9.096 ,0.200 
199,1633,9.017 ,0.200 
200,1634,11.300 ,0.200 
201,1635,9.589 ,0.200 
202,1636,9.496 ,0.200 
203,1637,9.479 ,0.200 
204,1638,8.799 ,0.200 
205,1639,11.257 ,0.200 
206,1640,7.935 ,0.200 
207,1641,9.541 ,0.200 
208,1642,9.584 ,0.200 
209,1643,9.589 ,0.200 
210,1644,9.499 ,0.200 
211,1645,8.474 ,0.200 
212,1646,9.490 ,0.200 
213,1647,11.409 ,0.200 
214,1648,9.423 ,0.200 
215,1649,8.265 ,0.200 
216,1650,9.384 ,0.200 
217,1651,9.469 ,0.200 
218,1652,9.418 ,0.200 
219,1653,9.451 ,0.200 
220,1654,0.000 ,0.200 
221,1655,9.386 ,0.200 
222,1656,9.433 ,0.200 
223,1657,8.211 ,0.200 
224,1658,9.485 ,0.200 
225,1659,9.384 ,0.200 
226,1660,9.463 ,0.200 
227,1661,7.370 ,0.200 
228,1662,9.280 ,0.200 
229,1663,9.622 ,0.200 
230,1664,9.000 ,0.200 
231,1665,9.365 ,0.200 
232,1666,9.040 ,0.200 
233,1667,9.463 ,0.200 
234,1668,9.268 ,0.200 
235,1669,9.328 ,0.200 
236,1670,9.687 ,0.200 
237,1671,9.264 ,0.200 
238,1672,6.595 ,0.200 
239,1673,6.006 ,0.200 
240,1674,6.112 ,0.200 
241,1675,7.172 ,0.200 
242,1676,7.060 ,0.200 
243,1677,6.422 ,0.200 
244,1678,6.156 ,0.200 
245,1679,5.002 ,0.200 
246,1680,2.998 ,0.200 
247,1681,2.097 ,0.200 
248,1682,8.990 ,0.200 
249,1683,6.081 ,0.200 
250,1684,4.985 ,0.200 
251,1685,2.077 ,0.200 
252,1686,3.957 ,0.200 
253,1687,4.447 ,0.200 
254,1688,4.465 ,0.200 
255,1689,4.278 ,0.200 
256,1690,4.493 ,0.200 
257,1691,4.841 ,0.200 
258,1692,7.074 ,0.200 
259,1693,4.532 ,0.200 
260,1694,7.042 ,0.200 
261,1695,5.092 ,0.200 
262,1696,6.336 ,0.200 
263,1697,7.035 ,0.200 
264,1698,6.575 ,0.200 
265,1699,6.770 ,0.200 
266,1700,5.263 ,0.200 
267,1701,7.031 ,0.200 
268,1702,7.077 ,0.200 
269,1703,7.291 ,0.200 
270,1704,7.274 ,0.200 
271,1705,6.821 ,0.200 
272,1706,7.096 ,0.200 
273,1707,7.081 ,0.200 
274,1708,7.188 ,0.200 
275,1709,9.054 ,0.200 
276,1710,8.836 ,0.200 
277,1711,7.057 ,0.200 
278,1712,9.039 ,0.200 
279,1713,7.183 ,0.200 
280,1714,6.951 ,0.200 
281,1715,7.329 ,0.200 
282,1716,7.041 ,0.200 
283,1717,7.434 ,0.200 
284,1718,7.186 ,0.200 
285,1719,6.462 ,0.200 
286,1720,6.768 ,0.200 
287,1721,8.220 ,0.200 
288,1722,8.300 ,0.200 
289,1723,7.197 ,0.200 
290,1724,7.072 ,0.200 
291,1725,7.094 ,0.200 
292,1726,6.827 ,0.200 
293,1727,6.906 ,0.200 
294,1728,7.058 ,0.200 
295,1729,6.867 ,0.200 
296,1730,6.916 ,0.200 
297,1731,6.795 ,0.200 
298,1732,6.985 ,0.200 
299,1733,7.042 ,0.200 
300,1734,6.988 ,0.200 
301,1735,7.077 ,0.200 
302,1736,6.866 ,0.200 
303,1737,7.038 ,0.200 
304,1738,7.045 ,0.200 
305,1739,7.074 ,0.200 
306,1740,7.070 ,0.200 
307,1741,6.887 ,0.200 
308,1742,7.147 ,0.200 
309,1743,6.925 ,0.200 
310,1744,7.021 ,0.200 
311,1745,6.954 ,0.200 
312,1746,6.848 ,0.200 
313,1747,7.047 ,0.200 
314,1748,6.977 ,0.200 
315,1749,6.927 ,0.200 
