ID,PLID,LinkID
1,1,7122
2,2,1348
3,3,829
4,4,820
5,5,1374
6,6,355
7,7,346
8,8,777
9,9,1420
10,10,761
11,11,316
12,12,298
13,13,290
14,14,283
15,15,274
16,16,703
17,17,695
18,18,687
19,19,671
20,20,217
21,21,206
22,22,1565
23,23,1573
24,24,608
25,25,593
26,26,1612
27,27,126
28,28,116
29,29,107
30,30,99
31,31,1664
32,32,517
33,33,1681
34,34,1690
35,35,491
36,36,482
37,37,1716
38,38,464
39,39,1734
40,40,12
41,41,3
42,42,3180
43,43,6384
44,44,1604
45,45,1589
46,46,679
47,47,364
48,48,407
49,49,3178
50,50,1309
51,51,1299
52,52,1215
53,53,1207
54,54,1195
55,55,1188
56,56,1105
57,57,1095
58,58,1085
59,59,1035
60,60,1020
61,61,1010
62,62,1002
63,63,996
64,64,962
65,65,954
66,66,899
67,67,875
68,68,16403
69,69,3865
70,70,4212
71,71,4267
72,72,4288
73,73,4333
74,74,4356
75,75,4379
76,76,4408
77,77,4510
78,78,4594
79,79,4634
80,80,4723
81,81,4915
82,82,4946
83,83,5190
84,84,5197
85,85,5211
86,86,5243
87,87,5319
88,88,5364
89,89,5401
90,90,5433
91,91,5456
92,92,5492
93,93,5507
94,94,5533
95,95,5555
96,96,5610
97,97,6273
98,98,3854
99,99,16838
100,100,2207
101,101,2239
102,102,2306
103,103,2348
104,104,2380
105,105,2436
106,106,2448
107,107,2471
108,108,2740
109,109,16707
110,110,2861
111,111,2880
112,112,2938
113,113,2965
114,114,2981
115,115,2995
116,116,3009
117,117,3024
118,118,3059
119,119,3138
120,120,3207
121,121,3227
122,122,3256
123,123,3282
124,124,3323
125,125,3362
126,126,3458
127,127,3479
128,128,3549
129,129,3593
130,130,3704
131,131,14048
132,132,1846
133,133,1948
134,134,2022
135,135,5945
136,136,5958
137,137,6028
138,138,6108
139,139,6142
140,140,16577
141,141,1975
142,142,1990
143,143,16806
144,144,3945
145,145,4126
146,146,7348
147,147,7363
148,148,7370
149,149,7377
150,150,7387
151,151,7394
152,152,7400
153,153,7406
154,154,7413
155,155,7420
156,156,7427
157,157,7435
158,158,7442
159,159,7450
160,160,7457
161,161,7463
162,162,7475
163,163,7482
164,164,7489
165,165,7498
166,166,7506
167,167,7523
168,168,7530
169,169,7537
170,170,7545
171,171,7553
172,172,7563
173,173,7573
174,174,7576
175,175,7582
176,176,7588
177,177,7595
178,178,7602
179,179,7607
180,180,7614
181,181,7617
182,182,7356
183,183,6635
184,184,6643
185,185,6653
186,186,6661
187,187,6696
188,188,6704
189,189,6710
190,190,6751
191,191,6765
192,192,6774
193,193,6810
194,194,6820
195,195,7261
196,196,7270
197,197,12059
198,198,7319
