ID,AID,Type,LinkID
1,3262,4,318
2,3263,4,318
3,3264,4,318
4,3265,4,318
5,3266,4,318
6,3267,4,318
7,3268,4,347
8,3269,4,346
9,3270,4,346
10,3271,4,347
11,3272,4,347
12,3273,4,347
13,3274,4,369
14,3275,4,369
15,3276,4,369
16,3277,4,369
17,3278,4,369
18,3279,4,369
19,3280,4,50
20,3281,4,50
21,3282,4,50
22,3283,4,485
23,3284,4,46
24,3285,4,46
25,3286,4,46
26,3287,4,46
27,3288,4,46
28,3289,4,46
29,3290,4,47
30,3291,4,482
31,3292,4,47
32,3293,4,47
33,3294,4,48
34,3295,4,483
35,3296,4,48
36,3297,4,48
37,3298,4,49
38,3299,4,484
39,3300,4,49
40,3301,4,49
41,3302,4,484
42,3303,4,511
43,3304,4,75
44,3305,4,510
45,3306,4,75
46,3307,4,510
47,3308,4,74
48,3309,4,509
49,3310,4,74
50,3311,4,509
51,3312,4,73
52,3313,4,508
53,3314,4,73
54,3315,4,508
55,3316,4,72
56,3317,4,507
57,3318,4,72
58,3319,4,507
59,3320,4,71
60,3321,4,505
61,3322,4,70
62,3323,4,504
63,3324,4,69
64,3325,4,503
65,3326,4,67
66,3327,4,502
67,3328,4,66
68,3329,4,501
69,3330,4,65
70,3331,4,499
71,3332,4,64
72,3333,4,498
73,3334,4,62
74,3335,4,292
75,3336,4,292
76,3337,4,292
77,3338,4,292
78,3339,4,292
79,3340,4,292
80,3341,4,214
81,3342,4,214
82,3343,4,214
83,3344,4,214
84,3345,4,214
85,3346,4,214
86,3347,4,208
87,3348,4,208
88,3349,4,208
89,3350,4,208
90,3351,4,208
91,3352,4,209
92,3353,4,118
93,3354,4,117
94,3355,4,117
95,3356,4,117
96,3357,4,118
97,3358,4,118
98,3359,4,111
99,3360,4,110
100,3361,4,110
101,3362,4,110
102,3363,4,111
103,3364,4,111
104,3365,4,54
105,3366,4,53
106,3367,4,53
107,3368,4,53
108,3369,4,54
109,3370,4,54
110,3371,4,6381
111,3372,4,6381
112,3373,4,6381
113,3374,4,6381
114,3375,4,6381
115,3376,4,6382
116,3377,4,1311
117,3378,4,1311
118,3379,4,1311
119,3380,4,1311
120,3381,4,1311
121,3382,4,1312
122,3383,4,1262
123,3384,4,1262
124,3385,4,1262
125,3386,4,1262
