ID,VID,PLID,Type,LinkID
1,1,0,0,33
2,2,0,0,33
3,3,0,0,157
4,4,0,0,304
5,5,0,0,304
6,6,0,0,335
7,7,0,0,345
8,8,0,0,378
9,9,0,0,16362
10,10,0,0,16362
11,11,0,0,290
12,12,0,0,267
13,13,0,0,260
14,14,0,0,245
15,15,0,0,231
16,16,0,0,206
17,17,0,0,196
18,18,0,0,186
19,19,0,0,174
20,20,0,0,174
21,21,0,0,156
22,22,0,0,140
23,23,0,0,132
24,24,0,0,116
25,25,0,0,111
26,26,0,0,107
27,27,0,0,96
28,28,0,0,94
29,29,0,0,90
30,30,0,0,86
31,31,0,0,76
32,32,0,0,29
33,33,0,0,13
34,34,0,0,3180
35,35,0,0,3180
36,36,0,0,423
37,37,0,0,378
38,38,0,0,350
39,39,0,0,16339
40,40,0,0,16402
41,41,0,0,875
42,42,0,0,883
43,43,0,0,905
44,44,0,0,946
45,45,0,0,974
46,46,0,0,978
47,47,0,0,996
48,48,0,0,997
49,49,0,0,997
50,50,0,0,1006
51,51,0,0,1023
52,52,0,0,1030
53,53,0,0,1041
54,54,0,0,1049
55,55,0,0,1056
56,56,0,0,1056
57,57,0,0,1084
58,58,0,0,1099
59,59,0,0,1099
60,60,0,0,1103
61,61,0,0,1103
62,62,0,0,1104
63,63,0,0,1124
64,64,0,0,1130
65,65,0,0,1176
66,66,0,0,1192
67,67,0,0,1195
68,68,0,0,1200
69,69,0,0,1202
70,70,0,0,1213
71,71,0,0,1237
72,72,0,0,1242
73,73,0,0,1242
74,74,0,0,1265
75,75,0,0,1283
76,76,0,0,1292
77,77,0,0,1304
78,78,0,0,1304
79,79,0,0,3864
80,80,0,0,4176
81,81,0,0,4201
82,82,0,0,16796
83,83,0,0,4275
84,84,0,0,4275
85,85,0,0,4283
86,86,0,0,4378
87,87,0,0,4393
88,88,0,0,16811
89,89,0,0,4441
90,90,0,0,4441
91,91,0,0,4441
92,92,0,0,4514
93,93,0,0,4514
94,94,0,0,4518
95,95,0,0,4541
96,96,0,0,4553
97,97,0,0,4564
98,98,0,0,4564
99,99,0,0,4593
100,100,0,0,4605
101,101,0,0,4620
102,102,0,0,4634
103,103,0,0,4634
104,104,0,0,4640
105,105,0,0,4698
106,106,0,0,4700
107,107,0,0,4736
108,108,0,0,4772
109,109,0,0,4783
110,110,0,0,4833
111,111,0,0,4846
112,112,0,0,4854
113,113,0,0,5003
114,114,0,0,5060
115,115,0,0,5084
116,116,0,0,5133
117,117,0,0,5133
118,118,0,0,5634
119,119,0,0,5639
120,120,0,0,5646
121,121,0,0,5654
122,122,0,0,5684
123,123,0,0,5781
124,124,0,0,5826
125,125,0,0,5853
126,126,0,0,5862
127,127,0,0,5909
128,128,0,0,5922
129,129,0,0,2282
130,130,0,0,2288
131,131,0,0,2288
132,132,0,0,2306
133,133,0,0,2332
134,134,0,0,2366
135,135,0,0,2654
136,136,0,0,16710
137,137,0,0,2967
138,138,0,0,3031
139,139,0,0,3085
140,140,0,0,3595
141,141,0,0,3659
142,142,0,0,3688
143,143,0,0,3688
144,144,0,0,3736
145,145,0,0,4072
146,146,0,0,4079
147,147,0,0,5952
148,148,0,0,6023
149,149,0,0,6027
150,150,0,0,6083
151,151,0,0,6130
152,152,0,0,6130
153,153,0,0,6145
154,154,0,0,6213
155,155,0,0,6263
156,156,0,0,6263
157,157,0,0,16576
158,158,0,0,16576
159,159,0,0,1759
160,160,0,0,1759
161,161,0,0,6263
162,162,0,0,1797
163,163,0,0,6213
164,164,0,0,1820
165,165,0,0,1820
166,166,0,0,6185
167,167,0,0,6185
168,168,0,0,1838
169,169,0,0,1846
170,170,0,0,6172
171,171,0,0,1852
172,172,0,0,1852
173,173,0,0,1912
174,174,0,0,6110
175,175,0,0,6110
176,176,0,0,6110
177,177,0,0,1917
178,178,0,0,1917
179,179,0,0,6075
180,180,0,0,6043
181,181,0,0,6043
182,182,0,0,1999
183,183,0,0,2003
184,184,0,0,2003
185,185,0,0,5999
186,186,0,0,2031
187,187,0,0,5957
188,188,0,0,5955
189,189,0,0,5952
190,190,0,0,2073
191,191,0,0,5927
192,192,0,0,5927
193,193,0,0,2094
194,194,0,0,2121
195,195,0,0,2151
