ID,AID,LinkID
1,6786,12567
2,6787,12557
3,6788,11580
4,6789,11264
5,6790,11299
6,6791,11291
7,6792,11578
8,6793,12547
9,6794,11356
10,6795,18606
11,6796,12423
12,6797,12429
13,6798,12439
14,6799,12434
15,6800,12443
16,6801,12450
17,6802,12447
18,6803,12461
19,6804,12454
20,6805,18229
21,6806,12466
22,6807,12471
23,6808,12476
24,6809,12480
25,6810,12484
26,6811,12495
27,6812,12493
28,6813,12499
29,6814,18029
30,6815,11381
31,6816,11371
32,6817,11377
33,6818,11377
34,6819,11359
35,6820,11369
36,6821,12511
37,6822,12523
38,6823,12539
39,6824,16138
40,6825,15505
41,6826,16265
42,6827,16253
43,6828,16242
44,6829,16216
45,6830,16229
46,6831,16200
47,6832,16193
48,6833,16188
49,6834,16184
50,6835,16174
51,6836,16150
52,6837,16159
53,6838,16120
54,6839,16139
55,6840,6736
56,6841,12415
57,6842,6923
58,6843,8746
59,6844,5755
60,6845,6727
61,6846,6719
62,6847,6741
63,6848,6755
64,6849,6762
65,6850,6765
66,6851,6773
67,6852,6776
68,6853,6681
69,6854,6694
70,6855,6688
71,6856,6669
72,6857,6672
73,6858,6676
74,6859,6791
75,6860,6793
76,6861,6796
77,6862,6801
78,6863,6806
79,6864,6643
80,6865,6649
81,6866,6653
82,6867,6815
83,6868,6821
84,6869,6819
85,6870,6824
86,6871,6852
87,6872,6638
88,6873,7564
89,6874,7589
90,6875,7614
91,6876,7537
92,6877,7431
93,6878,7037
94,6879,6986
95,6880,7486
96,6881,7093
97,6882,7053
98,6883,7359
99,6884,16570
100,6885,7520
101,6886,7398
102,6887,6255
103,6888,6229
104,6889,6238
105,6890,6243
106,6891,6248
107,6892,1786
108,6893,1791
109,6894,1797
110,6895,1804
111,6896,1812
112,6897,6219
113,6898,6156
114,6899,6149
115,6900,6200
116,6901,6196
117,6902,6192
118,6903,6183
119,6904,1849
120,6905,9008
121,6906,9022
122,6907,9043
123,6908,9035
124,6909,9049
125,6910,130
126,6911,1120
127,6912,1140
128,6913,8688
129,6914,8697
130,6915,8728
131,6916,8315
132,6917,8329
133,6918,8308
134,6919,8344
135,6920,8355
136,6921,8372
137,6922,8399
138,6923,8416
139,6924,8427
140,6925,8448
141,6926,8461
142,6927,8535
143,6928,8542
144,6929,8547
145,6930,8551
146,6931,8610
147,6932,10935
148,6933,9706
149,6934,9802
150,6935,9814
151,6936,3908
152,6937,3980
153,6938,4108
154,6939,5333
155,6940,5345
156,6941,5355
157,6942,2707
158,6943,3243
159,6944,3256
160,6945,3846
161,6946,4776
162,6947,4780
163,6948,9603
164,6949,5204
165,6950,5112
166,6951,5106
167,6952,5053
168,6953,5026
169,6954,8139
170,6955,8190
171,6956,8213
172,6957,8249
173,6958,10816
174,6959,208
175,6960,145
176,6961,3843
177,6962,1075
178,6963,1202
179,6964,328
180,6965,180
181,6966,1032
182,6967,2907
183,6968,3702
184,6969,5788
185,6970,5379
186,6971,1984
187,6972,1957
188,6973,6098
189,6974,6093
190,6975,6087
191,6976,8074
192,6977,8470
193,6978,8437
194,6979,9788
195,6980,103
196,6981,118
197,6982,60
198,6983,215
199,6984,243
200,6985,307
201,6986,2643
202,6987,1179
203,6988,1287
204,6989,16844
205,6990,8694
206,6991,8682
207,6992,8738
208,6993,8580
209,6994,10867
210,6995,10918
211,6996,10073
212,6997,6332
213,6998,4456
214,6999,4529
215,7000,4832
216,7001,4802
217,7002,24
218,7003,2754
219,7004,3274
220,7005,3822
221,7006,5684
222,7007,3859
223,7008,5927
224,7009,5936
225,7010,2044
226,7011,2071
227,7012,1903
228,7013,6131
229,7014,8008
230,7015,389
231,7016,6708
232,7017,6699
233,7018,6781
234,7019,18734
235,7020,6749
236,7021,6759
237,7022,11551
238,7023,6789
239,7024,6665
240,7025,6661
241,7026,6658
242,7027,6654
243,7028,6811
244,7029,6874
245,7030,6902
246,7031,11316
247,7032,7454
248,7033,8991
249,7034,9067
250,7035,6234
251,7036,6225
252,7037,6223
253,7038,6211
254,7039,1808
255,7040,1794
256,7041,1777
257,7042,1822
258,7043,1830
259,7044,1837
260,7045,6203
261,7046,6175
262,7047,6168
263,7048,6165
264,7049,6163
265,7050,6160
266,7051,6153
267,7052,6142
268,7053,6123
269,7054,6115
270,7055,6107
271,7056,6081
272,7057,6063
273,7058,6053
274,7059,6073
275,7060,6038
276,7061,6009
277,7062,5953
278,7063,2022
279,7064,2013
280,7065,2005
281,7066,1996
282,7067,1939
283,7068,1933
284,7069,1927
285,7070,1915
286,7071,1882
287,7072,14758
288,7073,1863
289,7074,9487
290,7075,8719
291,7076,8711
292,7077,8704
293,7078,8691
294,7079,8666
295,7080,2257
296,7081,2198
297,7082,5853
298,7083,5839
299,7084,5828
300,7085,5817
301,7086,5770
302,7087,5757
303,7088,5754
304,7089,4002
305,7090,5665
306,7091,5662
307,7092,5655
308,7093,5643
309,7094,5629
310,7095,5624
311,7096,278
312,7097,5609
313,7098,5635
314,7099,8
315,7100,1308
316,7101,1271
317,7102,1243
318,7103,1210
319,7104,1109
320,7105,1104
321,7106,1006
322,7107,7339
323,7108,1367
324,7109,10320
325,7110,9824
326,7111,2805
327,7112,2675
328,7113,2624
329,7114,2582
330,7115,2505
331,7116,5574
332,7117,5544
333,7118,5519
334,7119,5505
335,7120,5494
336,7121,5467
337,7122,5445
338,7123,5436
339,7124,5425
340,7125,5420
341,7126,5412
342,7127,5398
343,7128,5385
344,7129,5372
345,7130,5364
346,7131,5350
347,7132,5340
348,7133,5324
349,7134,5312
350,7135,5288
351,7136,5271
352,7137,5253
353,7138,5235
354,7139,5219
355,7140,5187
356,7141,5171
357,7142,5160
358,7143,5153
359,7144,5143
360,7145,5131
361,7146,5121
362,7147,5099
363,7148,5084
364,7149,5071
365,7150,5061
366,7151,5044
367,7152,5036
368,7153,5021
369,7154,5012
370,7155,5001
371,7156,4995
372,7157,4992
373,7158,4982
374,7159,4967
375,7160,4955
376,7161,4944
377,7162,4934
378,7163,4928
379,7164,4917
380,7165,4905
381,7166,4896
382,7167,4889
383,7168,4885
384,7169,4877
385,7170,4869
386,7171,4853
387,7172,4813
388,7173,4796
389,7174,4786
390,7175,4769
391,7176,4758
392,7177,4746
393,7178,4739
394,7179,4736
395,7180,4732
396,7181,4730
397,7182,4724
398,7183,4716
399,7184,4708
400,7185,4700
401,7186,4690
402,7187,4678
403,7188,4666
404,7189,4658
405,7190,4652
406,7191,4639
407,7192,4630
408,7193,4626
409,7194,4612
410,7195,4599
411,7196,4589
412,7197,4566
413,7198,4502
414,7199,4483
415,7200,4404
416,7201,4296
417,7202,4218
418,7203,4207
419,7204,4156
420,7205,4133
421,7206,4117
422,7207,4105
423,7208,4099
424,7209,4093
425,7210,4087
426,7211,4080
427,7212,4077
428,7213,4069
429,7214,4045
430,7215,3964
431,7216,3953
432,7217,3942
433,7218,3934
434,7219,3931
435,7220,3926
436,7221,3920
437,7222,3896
438,7223,3886
439,7224,3882
440,7225,3869
441,7226,3851
442,7227,3835
443,7228,3812
444,7229,3829
445,7230,3801
446,7231,3789
447,7232,3785
448,7233,3779
449,7234,3771
450,7235,3763
451,7236,3753
452,7237,3747
453,7238,3739
454,7239,3731
455,7240,3722
456,7241,3708
457,7242,3697
458,7243,3685
459,7244,3672
460,7245,3663
461,7246,3652
462,7247,3641
463,7248,3627
464,7249,3618
465,7250,3610
466,7251,3597
467,7252,3584
468,7253,3540
469,7254,3501
470,7255,3478
471,7256,3462
472,7257,3452
473,7258,3446
474,7259,3440
475,7260,3425
476,7261,3414
477,7262,3407
478,7263,3402
479,7264,3395
480,7265,3370
481,7266,3310
482,7267,3230
483,7268,3219
484,7269,3212
485,7270,3189
486,7271,3173
487,7272,3155
488,7273,3141
489,7274,3118
490,7275,3105
491,7276,3091
492,7277,3077
493,7278,3065
494,7279,3059
495,7280,3051
496,7281,3038
497,7282,3021
498,7283,3005
499,7284,2994
500,7285,2984
501,7286,2970
502,7287,2942
503,7288,2889
504,7289,2880
505,7290,2872
506,7291,2864
507,7292,2853
508,7293,2842
509,7294,2830
510,7295,16664
511,7296,8627
512,7297,8615
513,7298,8600
514,7299,8558
515,7300,8524
516,7301,8504
517,7302,8480
518,7303,8475
519,7304,8452
520,7305,8311
521,7306,8284
522,7307,16343
523,7308,7948
