ID,VID,PLID,Type,LinkID
1,871,0,2,16477
2,872,0,2,413
3,873,0,2,371
4,874,0,2,348
5,875,0,2,340
6,876,0,2,324
7,877,0,2,300
8,878,0,2,1019
9,879,0,2,652
10,880,0,2,216
11,881,0,2,554
12,882,0,2,109
13,883,0,2,56
14,884,0,2,1
15,885,0,2,0
16,886,0,2,1095
17,887,0,2,989
18,888,0,2,944
19,889,0,2,1337
20,890,0,2,16330
21,891,0,2,0
22,892,0,2,3179
23,893,0,2,1644
24,894,0,2,1193
25,895,0,2,1546
26,896,0,2,652
27,897,0,2,1019
28,898,0,2,291
29,899,0,2,995
30,900,0,2,318
31,901,0,2,341
32,902,0,2,969
33,903,0,2,944
34,904,0,2,371
35,905,0,2,897
36,906,0,2,413
37,907,0,2,875
38,908,0,2,16477
39,909,0,2,16330
40,910,0,2,1260
41,911,0,2,5928
42,912,0,2,6024
43,913,0,2,4173
44,914,0,2,4441
45,915,0,2,4514
46,916,0,2,4557
47,917,0,2,3398
48,918,0,2,3385
49,919,0,2,3175
50,920,0,2,5202
51,921,0,2,2431
52,922,0,2,296
53,923,0,2,5746
54,924,0,2,5940
55,925,0,2,2078
56,926,0,2,6319
57,927,0,2,6482
58,928,0,2,2430
59,929,0,2,2831
60,930,0,2,3184
61,931,0,2,3384
62,932,0,2,3398
63,933,0,2,3478
64,934,0,2,4503
65,935,0,2,3862
66,936,0,2,16586
67,937,0,2,16585
68,938,0,2,1989
69,939,0,2,5948
70,940,0,2,5948
71,941,0,2,4157
72,942,0,2,2284
73,943,0,2,4015
74,944,0,2,3854
75,945,0,2,3599
76,946,0,2,7166
77,947,0,2,6772
78,948,0,2,6829
79,949,0,2,7617
80,950,0,2,0
81,951,0,2,6639
82,952,0,2,6699
83,953,0,2,7303
84,954,0,2,6631
85,955,0,2,6630
86,956,0,2,6829
87,957,0,2,6849
88,958,0,2,6883
89,959,0,2,6884
90,960,0,2,11157
91,961,0,2,7577
92,962,0,2,7581
93,963,0,2,6891
94,964,0,2,16639
95,965,0,2,6943
96,966,0,2,6943
97,967,0,2,11318
98,968,0,2,16586
99,969,0,2,16586
100,970,0,2,7724
101,971,0,2,7724
102,972,0,2,6990
103,973,0,2,6997
104,974,0,2,12914
105,975,0,2,7078
106,976,0,2,9238
107,977,0,2,7112
108,978,0,2,16362
109,979,0,2,16286
110,980,0,2,7379
111,981,0,2,7379
112,982,0,2,9212
113,983,0,2,7387
114,984,0,2,12895
115,985,0,2,7466
116,986,0,2,7473
117,987,0,2,7473
118,988,0,2,16570
119,989,0,2,7509
120,990,0,2,7573
121,991,0,2,7573
122,992,0,2,7615
123,993,0,2,7615
124,994,0,2,0
125,995,0,2,0
126,996,0,2,7111
127,997,0,2,9212
128,998,0,2,9212
129,999,0,2,7899
130,1000,0,2,7899
131,1001,0,2,16411
132,1002,0,2,8104
133,1003,0,2,10302
134,1004,0,2,10297
135,1005,0,2,8123
136,1006,0,2,8124
137,1007,0,2,8114
138,1008,0,2,8268
139,1009,0,2,10148
140,1010,0,2,10137
141,1011,0,2,10134
142,1012,0,2,8263
143,1013,0,2,9776
144,1014,0,2,9776
145,1015,0,2,8629
146,1016,0,2,8629
147,1017,0,2,10821
148,1018,0,2,10821
149,1019,0,2,9757
150,1020,0,2,9757
151,1021,0,2,9675
152,1022,0,2,9681
153,1023,0,2,10916
154,1024,0,2,10915
155,1025,0,2,9569
156,1026,0,2,9570
157,1027,0,2,5190
158,1028,0,2,10908
159,1029,0,2,5193
160,1030,0,2,3590
161,1031,0,2,15463
162,1032,0,2,6994
163,1033,0,2,16586
164,1034,0,2,7576
165,1035,0,2,11157
166,1036,0,2,18736
167,1037,0,2,6700
168,1038,0,2,11318
169,1039,0,1,16477
170,1040,0,1,850
171,1041,0,1,371
172,1042,0,1,348
173,1043,0,1,340
174,1044,0,1,324
175,1045,0,1,300
176,1046,0,1,1019
177,1047,0,1,652
178,1048,0,1,216
179,1049,0,1,554
180,1050,0,1,109
181,1051,0,1,491
182,1052,0,1,1
