ID,LID,PLID,LinkID
1,32028,0,407
2,32029,0,6384
3,32030,0,3180
4,32031,0,3
5,32032,0,12
6,32033,0,455
7,32034,0,464
8,32035,0,473
9,32036,0,482
10,32037,0,491
11,32038,0,499
12,32039,0,508
13,32040,0,517
14,32041,0,525
15,32042,0,99
16,32043,0,107
17,32044,0,116
18,32045,0,126
19,32046,0,578
20,32047,0,585
21,32048,0,593
22,32049,0,601
23,32050,0,608
24,32051,0,616
25,32052,0,624
26,32053,0,206
27,32054,0,217
28,32055,0,671
29,32056,0,679
30,32057,0,687
31,32058,0,695
32,32059,0,703
33,32060,0,274
34,32061,0,283
35,32062,0,290
36,32063,0,298
37,32064,0,316
38,32065,0,761
39,32066,0,768
40,32067,0,777
41,32068,0,346
42,32069,0,355
43,32070,0,364
44,32071,0,811
45,32072,0,820
46,32073,0,829
47,32074,0,838
48,32075,0,7123
49,32076,0,1348
50,32077,0,1357
51,32078,0,1366
52,32079,0,1374
53,32080,0,1411
54,32081,0,1420
55,32082,0,1427
56,32083,0,1485
57,32084,0,1494
58,32085,0,1502
59,32086,0,1510
60,32087,0,1518
61,32088,0,1565
62,32089,0,1573
63,32090,0,1581
64,32091,0,1589
65,32092,0,1596
66,32093,0,1604
67,32094,0,1612
68,32095,0,1664
69,32096,0,1672
70,32097,0,1681
71,32098,0,1690
72,32099,0,1699
73,32100,0,1707
74,32101,0,1716
75,32102,0,1725
76,32103,0,1734
77,32104,0,3179
78,32105,0,1309
79,32106,0,1299
80,32107,0,1215
81,32108,0,1207
82,32109,0,1195
83,32110,0,1188
84,32111,0,1106
85,32112,0,1095
86,32113,0,1085
87,32114,0,1035
88,32115,0,1020
89,32116,0,1010
90,32117,0,1002
91,32118,0,996
92,32119,0,962
93,32120,0,954
94,32121,0,899
95,32122,0,875
96,32123,0,16403
97,32124,0,5533
98,32125,0,3946
99,32126,0,2348
100,32127,0,16576
101,32128,0,14047
102,32129,0,1846
103,32130,0,6142
104,32131,0,6109
105,32132,0,1948
106,32133,0,1975
107,32134,0,6028
108,32135,0,1990
109,32136,0,2022
110,32137,0,5958
111,32138,0,5944
112,32139,0,16839
113,32140,0,2207
114,32141,0,2239
115,32142,0,6274
116,32143,0,2307
117,32144,0,2379
118,32145,0,5611
119,32146,0,2436
120,32147,0,2448
121,32148,0,5555
122,32149,0,2472
123,32150,0,5533
124,32151,0,5507
125,32152,0,5492
