ID,PLID,LinkID
1,319,16589
2,320,6254
3,321,6239
4,322,6223
5,323,6213
6,324,6202
7,325,6185
8,326,6168
9,327,6151
10,328,6131
11,329,6115
12,330,6087
13,331,6068
14,332,6102
15,333,6039
16,334,6053
17,335,6019
18,336,5983
19,337,6001
20,338,5968
21,339,5948
22,340,5958
23,341,6023
24,342,2079
25,343,2065
26,344,2048
27,345,2031
28,346,2012
29,347,1999
30,348,1989
31,349,1979
32,350,1959
33,351,1940
34,352,1925
35,353,15084
36,354,1887
37,355,14761
38,356,1857
39,357,14417
40,358,1823
41,359,1804
42,360,1789
43,361,1767
44,362,1759
45,363,5939
46,364,2093
47,365,5920
48,366,2112
49,367,5900
50,368,2152
51,369,2134
52,370,5881
53,371,5869
54,372,2164
55,373,5846
56,374,2189
57,375,5824
58,376,2216
59,377,2238
60,378,5746
61,379,2260
62,380,2287
63,381,5729
64,382,5711
65,383,2308
66,384,4003
67,385,4014
68,386,3986
69,387,4043
70,388,4059
71,389,3971
72,390,4071
73,391,3952
74,392,3928
75,393,4093
76,394,3906
77,395,4111
78,396,4126
79,397,3885
80,398,4143
81,399,3870
82,400,4157
83,401,3854
84,402,4026
85,403,4080
86,404,2341
87,405,2333
88,406,5697
89,407,5665
90,408,2351
91,409,2374
92,410,5654
93,411,5635
94,412,2408
95,413,2394
96,414,5606
97,415,5580
98,416,6486
99,417,6549
100,418,5556
101,419,5526
102,420,5493
103,421,5452
104,422,2577
105,423,5435
106,424,2597
107,425,5414
108,426,2621
109,427,5399
110,428,2643
111,429,2667
112,430,5379
113,431,5349
114,432,2688
115,433,5308
116,434,5290
117,435,2756
118,436,2789
119,437,5227
120,438,5202
121,439,2807
122,440,2803
123,441,2773
124,442,2715
125,443,2727
126,444,2737
127,445,2699
128,446,5329
129,447,5362
130,448,5470
131,449,5541
132,450,5572
133,451,5507
134,452,16710
135,453,5183
136,454,2836
137,455,5173
138,456,2842
139,457,2862
140,458,5154
141,459,5133
142,460,2886
143,461,5114
144,462,2907
145,463,5097
146,464,5096
147,465,2923
148,466,5084
149,467,2942
150,468,2961
151,469,5052
152,470,5037
153,471,2980
154,472,3002
155,473,5021
156,474,5000
157,475,4992
158,476,4984
159,477,3047
160,478,4964
161,479,3061
162,480,4914
163,481,3106
164,482,4930
165,483,3085
166,484,4946
167,485,3077
168,486,4903
169,487,3123
170,488,3149
171,489,3131
172,490,4886
173,491,4864
174,492,3158
175,493,3171
176,494,4854
177,495,3184
178,496,4832
179,497,3191
180,498,4814
181,499,3205
182,500,3217
183,501,3213
184,502,4796
185,503,4776
186,504,4786
187,505,3238
188,506,4761
189,507,3257
190,508,4743
191,509,3272
192,510,3283
193,511,4736
194,512,3302
195,513,4710
196,514,4691
197,515,3325
198,516,3339
199,517,4675
200,518,3363
201,519,4654
202,520,3357
203,521,3373
204,522,3385
205,523,4636
206,524,4626
207,525,3407
208,526,3398
209,527,3425
210,528,3438
211,529,4594
212,530,4614
213,531,4575
214,532,3457
215,533,3478
216,534,3464
217,535,4558
218,536,4566
219,537,4534
220,538,3493
221,539,4518
222,540,4503
223,541,4498
224,542,3529
225,543,3507
226,544,4480
227,545,4462
228,546,3560
229,547,3537
230,548,3548
231,549,4443
232,550,4417
233,551,3599
234,552,3576
235,553,4394
236,554,3612
237,555,3633
238,556,4370
239,557,3652
240,558,4354
241,559,3687
242,560,3698
243,561,4268
244,562,3717
245,563,3739
246,564,3779
247,565,4229
