ID,AID,LinkID
1,7816,11525
2,7817,18244
3,7818,11065
4,7819,11531
5,7820,18253
6,7821,11062
7,7822,11062
8,7823,11061
9,7824,11062
10,7825,11524
11,7826,12201
12,7827,11209
13,7828,11475
14,7829,12453
15,7830,12454
16,7831,12455
17,7832,12434
18,7833,12673
19,7834,11441
20,7835,11440
21,7836,11024
22,7837,11023
23,7838,11437
24,7839,11411
25,7840,11410
26,7841,11237
27,7842,11238
28,7843,11411
29,7844,11235
30,7845,11239
31,7846,11408
32,7847,11407
33,7848,11407
34,7849,11235
35,7850,11234
36,7851,12503
37,7852,18052
38,7853,11384
39,7854,12511
40,7855,12509
41,7856,11381
42,7857,11225
43,7858,12301
44,7859,12302
45,7860,18104
46,7861,12299
47,7862,12368
48,7863,11222
49,7864,11222
50,7865,12366
51,7866,12366
52,7867,12393
53,7868,12397
54,7869,12102
55,7870,12103
56,7871,12233
57,7872,12233
58,7873,11051
59,7874,12230
60,7875,12229
61,7876,12105
62,7877,12105
63,7878,11048
64,7879,6787
65,7880,11541
66,7881,11539
67,7882,12608
68,7883,12606
69,7884,6810
70,7885,11866
71,7886,11866
72,7887,11084
73,7888,11084
74,7889,12622
75,7890,12622
76,7891,11500
77,7892,11199
78,7893,11200
79,7894,11200
80,7895,11199
81,7896,11496
82,7897,11497
83,7898,11498
84,7899,11196
85,7900,11188
86,7901,18301
87,7902,11891
88,7903,11188
89,7904,11894
90,7905,12020
91,7906,12020
92,7907,11185
93,7908,11184
94,7909,12023
95,7910,12024
96,7911,12462
97,7912,18235
98,7913,12180
99,7914,12154
100,7915,18223
101,7916,18228
102,7917,12646
103,7918,18458
104,7919,11178
105,7920,11174
106,7921,11174
107,7922,12646
108,7923,12651
109,7924,12650
110,7925,11178
111,7926,11178
112,7927,11163
113,7928,11826
114,7929,11732
115,7930,11731
116,7931,11167
117,7932,11728
118,7933,18574
119,7934,11167
120,7935,11916
121,7936,18377
122,7937,12442
123,7938,12574
124,7939,11793
125,7940,11618
126,7941,11779
127,7942,11774
128,7943,11622
129,7944,11623
130,7945,12692
131,7946,11631
132,7947,11632
133,7948,11627
134,7949,11628
135,7950,12691
136,7951,12695
137,7952,11667
138,7953,11664
139,7954,12695
140,7955,11967
141,7956,11297
142,7957,12703
143,7958,12703
144,7959,12703
145,7960,12703
146,7961,11305
147,7962,2079
148,7963,2091
149,7964,2150
150,7965,8645
151,7966,1905
152,7967,15085
153,7968,15088
154,7969,15091
155,7970,15065
156,7971,15066
157,7972,1879
158,7973,14745
159,7974,14745
160,7975,1846
161,7976,14416
162,7977,14422
163,7978,14426
164,7979,12752
165,7980,17041
166,7981,14081
167,7982,12729
168,7983,17022
169,7984,13734
170,7985,13364
171,7986,15422
172,7987,15430
173,7988,15421
174,7989,13372
175,7990,15430
176,7991,15432
177,7992,12884
178,7993,12882
179,7994,13434
180,7995,13024
181,7996,15131
182,7997,12998
183,7998,14823
184,7999,14825
185,8000,14818
186,8001,14819
187,8002,12799
188,8003,14678
189,8004,12982
190,8005,12984
191,8006,12976
192,8007,14492
193,8008,14493
194,8009,14325
195,8010,12958
196,8011,12960
197,8012,12952
198,8013,12953
199,8014,14137
200,8015,14129
201,8016,12842
202,8017,12842
203,8018,12857
204,8019,13982
205,8020,13984
206,8021,13977
207,8022,12937
208,8023,12931
209,8024,13789
210,8025,13791
211,8026,13784
212,8027,12864
213,8028,13625
214,8029,12917
215,8030,13037
216,8031,15265
217,8032,15257
218,8033,13334
219,8034,14954
220,8035,13305
221,8036,13305
222,8037,14875
223,8038,17886
224,8039,13072
225,8040,13300
226,8041,14881
227,8042,13276
228,8043,14551
229,8044,13251
230,8045,14195
231,8046,14265
232,8047,13262
233,8048,13108
234,8049,14274
235,8050,13918
236,8051,13919
237,8052,13132
238,8053,13926
239,8054,13839
240,8055,13841
241,8056,13138
242,8057,13484
243,8058,13160
244,8059,13162
245,8060,13153
246,8061,13576
247,8062,13211
248,8063,13492
249,8064,13567
250,8065,13219
251,8066,8793
252,8067,15235
253,8068,15208
254,8069,8800
255,8070,8805
256,8071,8821
257,8072,8823
258,8073,14930
259,8074,8842
260,8075,8846
261,8076,14598
262,8077,14572
263,8078,8854
264,8079,8867
265,8080,8869
266,8081,14246
267,8082,14217
268,8083,8876
269,8084,8877
270,8085,8890
271,8086,13897
272,8087,13872
273,8088,13872
274,8089,8897
275,8090,8912
276,8091,13544
277,8092,13512
278,8093,8921
279,8094,5729
280,8095,4013
281,8096,15866
282,8097,15851
283,8098,15863
284,8099,15867
285,8100,16267
286,8101,16268
287,8102,4439
288,8103,15622
289,8104,15631
290,8105,15632
291,8106,5197
292,8107,5199
293,8108,5201
