ID,LID,Width,Color,type,LinkID
1,1,0.15,W,0,1536
2,2,0.15,W,0,1093
3,3,0.15,W,0,1092
4,4,0.15,W,0,1091
5,5,0.15,W,0,1532
6,6,0.15,W,0,1531
7,7,0.15,W,0,1088
8,8,0.15,W,0,1528
9,9,0.15,W,0,1449
10,10,0.15,W,0,1447
11,11,0.15,W,0,990
12,12,0.15,W,0,989
13,13,0.15,W,0,989
14,14,0.15,W,0,988
15,15,0.15,W,0,987
16,16,0.15,W,0,986
17,17,0.15,W,0,985
18,18,0.15,W,0,984
19,19,0.15,W,0,983
20,20,0.15,W,0,982
21,21,0.15,W,0,981
22,22,0.15,W,0,980
23,23,0.15,W,0,979
24,24,0.15,W,0,978
25,25,0.15,W,0,977
26,26,0.15,W,0,975
27,27,0.15,W,0,975
28,28,0.15,W,0,974
29,29,0.15,W,0,974
30,30,0.15,W,0,973
31,31,0.15,W,0,971
32,32,0.15,W,0,971
33,33,0.15,W,0,1401
34,34,0.15,W,0,1400
35,35,0.15,W,0,1399
36,36,0.15,W,0,1398
37,37,0.15,W,0,957
38,38,0.15,W,0,555
39,39,0.15,W,0,557
40,40,0.15,W,0,559
41,41,0.15,W,0,560
42,42,0.15,W,0,561
43,43,0.15,W,0,562
44,44,0.15,W,0,562
45,45,0.15,W,0,563
46,46,0.15,W,0,564
47,47,0.15,W,0,1625
48,48,0.15,W,0,1624
49,49,0.15,W,0,1623
50,50,0.15,W,0,1622
51,51,0.15,W,0,1622
52,52,0.15,W,0,1621
53,53,0.15,W,0,1619
54,54,0.15,W,0,1618
55,55,0.15,W,0,1617
56,56,0.15,W,0,1616
57,57,0.15,W,0,1615
58,58,0.15,W,0,1614
59,59,0.15,W,0,1613
60,60,0.15,W,0,1612
61,61,0.15,W,0,1611
62,62,0.15,W,0,1610
63,63,0.15,W,0,1609
64,64,0.15,W,0,1608
65,65,0.15,W,0,1607
66,66,0.15,W,0,1606
67,67,0.15,W,0,1605
68,68,0.15,W,0,1604
