ID,AID,LinkID
1,1674,3180
2,1675,550
3,1676,809
4,1677,792
5,1678,976
6,1679,1622
7,1680,333
8,1681,532
9,1682,647
10,1683,6510
11,1684,1431
12,1685,1407
13,1686,803
14,1687,3859
15,1688,5941
16,1689,4631
17,1690,6446
18,1691,5557
19,1692,1991
20,1693,5941
21,1694,1991
22,1695,6238
23,1696,9558
24,1697,3515
25,1698,10815
26,1699,8071
27,1700,8100
28,1701,8227
29,1702,8152
30,1703,7935
31,1704,16378
32,1705,8306
33,1706,10873
34,1707,9673
35,1708,10958
36,1709,9624
37,1710,9808
38,1711,8596
39,1712,8271
40,1713,10139
41,1714,8266
42,1715,10293
43,1716,8110
44,1717,10478
45,1718,7688
46,1719,12899
47,1720,10571
48,1721,10531
49,1722,8951
50,1723,10726
51,1724,7865
52,1725,7092
53,1726,9224
54,1727,11325
55,1728,6621
56,1729,11147
57,1730,15619
58,1731,16106
59,1732,12253
